year,B33 6.4983E,Bruce Plateau,DIV2010,DML07,FB97DML05,FB9807,FB9809,FB9814,Ferrigno,Fimbulisen s100,Gomez,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-1,ITASE-02-4,ITASE-02-7,Jurassic,Law Dome (2015),Mount Johns,NUS07-1,NUS07-2,NUS07-7,NUS08-4,NUS08-5,NUS08-7,Palmer,RIDS-A,Rendezvous,SDM-94,SP01,SP04C5,SPOLE 0EW,THW2010,UP-C,WD05A 112.125W,WDC05A
1907,846.963,597900.0,9212.9906,2901.668321,2271.832779,1071.136,2032.51645,770.77209,36830.0,58690.8,13273.90794,4494.6404,10394.48736,3629.888,3979.33293,3539.64,7298.16005,3315.88586,4998.6618,5065.08254,7354.15824,356.499,1117.41394,33827.1386,44122.05,4600.619887,529.88,580.958,307.908,1467.235,1100.232,1033.06,5271.766454,4969.238639,52750.88926,11637.69303,1271.11177,628.4457446,631.7112345,4404.3736,11422.52311,5084.354759,3549.2888
1908,1003.2416,427700.0,8953.3949,3286.879116,974.4296899,2385.78,3549.0798,993.30696,32340.0,178359.2,35199.02238,6891.65108,11155.3494,4956.99918,5564.4705,2173.231,6444.18367,7746.01611,7337.24986,11593.60498,6529.17084,725.61625,391.716,57413.37386,97247.68,4225.353499,822.744,509.864,206.685,1445.812,1724.829,826.49,11459.33194,3059.054047,95348.17961,25773.7542,472.511857,596.82838,1018.9349788000001,5282.6256,11586.21676,5334.53452,5487.8184
1909,1181.808,332100.0,12732.084,1306.755306,1315.694844,1519.256,881.36412,995.2698,24340.0,91108.8,35073.35109,2837.8194,11642.7311,3605.49,5935.944,5970.94764,11066.52456,4422.23908,5326.6225,21594.44014,7202.39104,891.91592,836.26624,52970.7684,75685.824,6671.301574,738.14,570.316,675.486,1269.359,1643.688,1071.07,11020.81706,10445.41844,76584.21301,5081.078445,1473.971405,782.8957808,1393.1240010000001,6632.0236,5434.068938,5752.082796,4875.159
1910,1052.8528,314200.0,10957.509,1480.611127,702.6132853,911.948,1083.63123,758.4116,22550.0,93566.2,16420.78946,4435.78612,4420.0095,5616.28925,5020.59826,7613.46704,14905.78189,6848.65536,7664.88096,11732.52023,10523.85516,855.37347,1096.4913,35227.66167,72486.294,5582.879431,863.928,600.678,772.875,1759.683,884.411,2228.17,18931.10087,1797.902911,47884.54986,38993.42809,893.96367,386.6257285,973.0619106,3623.3055,16439.64365,5457.873609,3192.7564
1911,1204.878,731500.0,10993.8011,2444.606514,1009.79877,1140.632,3455.33364,1712.64834,44120.0,33382.9,40573.97837,5579.16471,7014.742,4796.11106,7041.82888,6173.81248,2673.60534,6110.335,2597.6504,12241.86252,5969.16264,2685.88729,543.1755,94265.63481,115440.105,4870.9725,1540.812,611.014,1055.727,1562.954,409.775,354.27,10240.91044,7523.26278,61393.46018,28659.10613,1812.40779,607.13491,738.7405578,5033.6028,16085.60122,6483.709148,4270.3345
1912,476.0782,262800.0,10496.7984,2536.0953,1574.268571,1050.94,1613.05608,2190.0497,36750.0,119624.4,16397.54922,6296.101,12786.6519,5180.76,2746.97713,11314.63188,11312.00136,3445.16536,4927.49288,10248.1895,14464.14504,773.08137,413.561,12835.41469,55293.196,1876.817375,1205.464,617.406,925.749,1319.42,438.931,1157.52,4879.373078,7625.887003,67781.98598,9350.677054,977.0634569,1126.794511,816.3289984,4343.751,15915.47722,7716.431323,3534.6546
1913,711.2925,387900.0,6583.4856,1709.714942,2043.555459,2095.284,1510.06072,735.27806,28920.0,74803.2,18038.35288,6894.36096,10011.96812,7724.69904,2108.77524,5482.84374,11645.898,7552.21248,3760.83274,13623.43344,8934.90794,2316.70776,855.07625,31868.62134,129658.958,2756.057875,268.476,686.12,1016.658,854.404,259.629,1960.77,8641.318142,5953.05711,43011.13998,28174.05072,303.6179067,987.677765,919.966356,3392.7776,22331.28959,6681.502099,4567.4128
1914,430.5248,466700.0,13144.3775,1484.566056,1072.159123,1235.288,1003.38287,2124.29052,43060.0,49384.5,29515.40353,6201.24298,8213.586,7121.5082,4172.88795,4481.64144,9308.77938,17787.202,5006.05875,16993.504,5620.44652,1450.90099,1185.36391,39459.16631,97119.363,3459.274256,1717.352,799.51,1066.824,922.262,355.2,1527.82,7302.119088,4439.60838,127451.2742,21372.63005,984.6388899,732.410702,750.18629235,3437.684,9380.082018,6837.079708,4883.1
1915,1307.2158,98200.0,5033.96,1576.945151,1077.213397,580.992,1130.09336,1072.80116,36230.0,157202.5,26698.92144,17459.8197,8446.7768,5130.0205,4451.826,5318.4924,8972.82828,4951.82256,9466.82662,5034.59078,5049.36326,1641.12935,425.47817,26983.98058,38227.84,5450.457675,1885.104,785.944,790.02,2008.693,806.896,1357.16,11306.4508,7462.789627,55895.73977,18146.23619,935.0264945,578.9703434,743.54696805,6269.094,11190.34131,3377.393055,4334.2352
1916,2485.4184,157700.0,12005.263,1463.225791,1357.923195,1576.308,3222.4806,774.74475,35180.0,101213.4,18045.42951,9769.84144,13250.3898,4688.21772,6339.6615,6437.54475,8011.2328,10376.99694,10283.7142,14845.17177,8924.42865,665.77504,1380.31091,41256.04412,70735.511,4331.532758,1839.5,594.218,932.769,2374.29,999.518,947.87,10896.02877,4909.700852,90062.98346,16093.27227,596.9928366,1145.365358,1090.068044,8993.544,10085.59304,5104.961822,5926.0665
