year,vrs-13 (vostok stack),B31 3.43W ,B32 0.00667E,B33 6.4983E,FB96DML01,FB97DML04,FB97DML06,FB97DML07,FB97DML09,FB97DML10,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,SPOLE 0EW , D66 136.9352E,LGB65 77.07472E,GV2 145.2631 E,ITASE-02-7,ITASE-02-4,Law Dome (2015),200 km,BerknerR25 45.716W,Gomez,"JRI (Aristarain et al., 2004)",Dyer Plateau,Ferrigno,Bryan coast,DIV2010,THW2010, WD05A 112.125W,WD05Q 112.086W ,WAIS 2014,SDM-94,UP-C,RIDS-A,RIDS-C,ITASE-99-1,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,Hercules Neve 165.4 E, Talos Dome 159.07575E, GV7 158.8624E,GV5 158.5369 E,RICE,Fimbulisen s100,Ekstroem B04,FB9802,Derwael Ice Rise,H72 41.08333E
1907,4.43,53.1,45.0,35.1,45.0,91.1,40.0,37.6,57.6,17.3,43.8,43.4,82.2,86.9,86.5,85.6,48.3,36.3,48.5,58.7,62.1,43.9,79.2,69.77,164.86,239.0,125.84,127.28,55.37,675.0,395.44,89.3,563.58,724.64,279.0,365.28,472.74,251.9,259.6,172.0,107.0,215.14,89.94,203.48,165.47,154.84,114.29,179.76,296.24,137.6,175.87,199.96,228.71,303.83,347.57,337.44,101.26,99.0,178.21,175.01,302.48,306.0,414.0,147.6,452.17,312.58
1908,15.04,45.1,65.2,31.7,45.0,42.0,36.1,37.6,30.7,70.9,60.5,45.9,46.2,78.7,131.5,68.9,53.4,25.7,24.2,38.2,59.7,34.1,34.2,49.94,233.32,167.0,95.88,46.8,107.29,724.0,147.69,133.5,723.07,671.71,549.0,364.53,490.13,333.1,258.8,184.0,169.0,212.96,141.28,104.65,179.19,95.33,146.87,251.56,323.66,186.92,206.99,273.47,298.73,350.69,433.67,510.68,167.72,89.1,217.9,125.55,176.71,452.0,229.0,73.7,542.92,269.76
1909,24.85,48.7,66.5,36.0,28.0,35.0,60.8,53.8,44.2,49.7,43.4,36.3,64.2,62.9,55.9,150.8,53.4,41.0,55.8,48.3,39.8,34.1,70.9,77.95,333.47,96.0,66.43,93.42,101.6,696.0,219.77,119.6,595.69,840.71,287.0,247.94,378.33,381.6,236.2,197.0,187.0,161.32,83.12,97.88,179.01,137.18,97.88,167.69,418.6,123.94,158.75,333.75,421.19,288.42,296.47,536.89,72.33,64.8,229.73,121.68,224.76,444.0,499.0,118.5,491.55,403.8
1910,19.62,57.7,39.9,43.6,58.4,59.4,68.3,64.2,56.5,49.9,43.3,70.0,69.3,44.5,80.9,73.6,70.9,41.0,41.2,58.4,24.9,14.6,39.3,88.23,169.88,107.0,115.49,86.48,114.08,642.0,132.54,88.8,722.46,394.43,597.0,263.54,497.23,264.1,279.9,142.0,93.0,208.83,165.34,143.14,164.77,89.55,65.24,217.4,321.04,165.06,110.91,276.79,262.69,379.18,453.22,418.29,48.37,97.2,233.0,139.47,144.37,371.0,299.0,178.7,348.87,353.15
1911,11.04,54.3,37.8,46.0,36.1,38.7,52.6,68.3,31.9,24.6,55.2,38.4,51.3,36.7,91.8,78.8,85.8,41.0,19.4,76.2,67.2,34.1,65.3,62.2,223.64,131.0,121.57,53.69,113.87,627.0,485.38,84.3,838.62,736.9,243.0,402.49,459.28,382.3,241.2,205.0,216.0,222.97,132.85,149.13,266.77,161.36,97.84,182.69,461.8,184.58,133.64,299.24,296.12,275.03,198.52,479.4,98.01,97.2,221.99,88.31,278.4,269.0,312.0,73.2,472.98,275.97
1912,17.63,56.3,40.9,44.2,72.0,65.7,36.5,50.5,63.7,59.2,67.1,74.1,61.6,47.2,83.4,97.5,102.9,41.0,63.1,89.0,44.8,26.7,75.5,93.19,167.33,173.0,109.42,55.37,101.1,644.0,647.58,212.6,351.52,534.45,425.0,278.41,293.35,399.3,279.0,166.0,196.0,206.7,50.49,200.17,265.68,131.56,97.81,280.71,445.51,194.38,141.11,299.84,465.32,275.64,306.25,263.02,171.83,131.05,231.21,177.63,325.83,329.0,312.0,114.2,463.55,470.26
1913,6.28,61.0,50.1,31.3,30.3,74.7,48.6,54.8,39.9,57.0,28.7,35.7,64.1,112.6,69.4,83.6,50.1,41.0,26.9,40.7,19.8,36.3,75.2,108.54,185.62,110.0,130.85,55.27,152.85,857.0,216.29,146.8,517.15,560.54,384.0,238.28,393.51,254.7,227.2,212.0,223.0,234.43,88.2,147.89,244.88,77.74,97.79,181.37,446.64,213.91,164.37,336.61,476.87,278.43,270.23,328.77,128.91,111.3,288.07,102.45,301.72,256.0,410.0,145.1,487.35,164.25
1914,17.37,60.0,69.5,30.4,35.7,42.5,36.3,52.4,59.9,67.8,62.2,66.3,66.5,70.5,74.9,80.9,40.0,31.6,29.5,48.4,73.7,98.5,69.8,123.8,154.68,159.0,100.27,82.7,146.31,643.0,329.54,164.2,594.57,517.38,398.0,317.16,274.05,375.5,255.4,200.0,165.0,174.69,88.0,108.97,244.62,71.76,97.61,216.19,414.19,194.21,164.5,298.75,414.87,294.97,262.47,419.78,78.1,67.45,289.45,101.84,181.65,219.0,410.0,128.6,577.33,381.18
1915,24.37,52.2,74.4,53.1,40.9,39.3,67.8,43.6,47.8,55.9,33.4,28.3,56.1,67.8,74.8,37.8,70.0,50.3,64.6,38.2,48.6,16.7,54.4,130.23,266.82,140.0,117.97,48.13,119.53,560.0,278.74,87.3,565.03,376.24,449.0,367.93,310.12,253.6,284.7,163.0,185.0,188.46,69.23,188.41,230.61,59.8,81.05,331.03,334.4,129.82,154.94,280.64,366.64,311.57,462.18,309.78,130.81,79.5,155.43,138.87,181.53,325.0,360.0,131.7,426.72,304.43
1916,18.87,49.5,61.2,49.8,29.7,59.9,39.7,28.3,19.9,38.4,47.4,47.0,89.1,67.7,118.6,89.2,59.9,41.0,25.1,58.5,69.7,52.4,41.5,90.93,159.35,183.0,100.27,82.32,92.8,847.0,320.25,104.4,671.66,620.27,381.0,276.4,346.01,378.5,357.0,215.0,212.0,212.11,170.85,98.65,216.32,131.56,80.78,157.92,508.96,100.2,168.9,292.49,372.2,462.58,411.54,471.93,129.91,47.7,270.88,125.35,236.53,258.0,328.0,94.1,351.3,383.51
