year,vrs-13 (vostok stack),B31 3.43W ,B32 0.00667E,B33 6.4983E,FB96DML01,FB97DML04,FB97DML06,FB97DML07,FB97DML09,FB97DML10,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,SPOLE 0EW , D66 136.9352E,LGB65 77.07472E,GV2 145.2631 E,ITASE-02-7,ITASE-02-4,Law Dome (2015),200 km,BerknerR25 45.716W,Gomez,"JRI (Aristarain et al., 2004)",Dyer Plateau,Ferrigno,Bryan coast,DIV2010,THW2010, WD05A 112.125W,WD05Q 112.086W ,WAIS 2014,SDM-94,UP-C,RIDS-A,RIDS-C,ITASE-99-1,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,Hercules Neve 165.4 E, Talos Dome 159.07575E, GV7 158.8624E,GV5 158.5369 E,RICE,Fimbulisen s100,Ekstroem B04,FB9802,Derwael Ice Rise,H72 41.08333E
1937,25.04,71.7,83.2,41.8,32.9,74.6,36.7,58.7,67.5,48.0,20.2,44.9,62.9,102.9,106.2,49.2,28.8,41.0,48.7,61.0,41.4,66.4,39.1,59.57,133.13,55.0,86.77,57.58,96.3,869.0,398.34,120.9,811.03,951.05,421.0,373.62,319.22,410.1,261.6,179.0,242.0,196.46,147.79,88.7,234.96,91.55,148.86,222.23,401.06,148.74,180.86,337.82,326.45,344.35,288.36,385.82,122.52,91.8,229.87,100.21,200.66,240.0,314.0,113.4,401.53,416.37
1938,20.15,58.2,70.2,60.9,22.8,51.2,49.7,45.1,55.4,39.5,51.8,56.3,92.0,89.9,128.9,56.7,63.0,41.0,48.7,68.0,93.8,43.6,31.7,64.43,281.72,116.0,114.92,57.53,107.88,603.0,201.33,126.3,675.73,595.88,457.0,414.95,430.28,354.0,243.2,217.0,197.0,281.61,152.49,106.73,240.03,114.01,163.25,183.37,284.93,134.77,125.15,353.78,422.02,322.56,383.21,315.98,98.14,91.8,261.22,82.9,335.87,342.0,477.0,128.4,537.13,339.43
1939,27.26,65.7,62.1,64.5,59.3,48.5,32.0,61.8,55.4,34.5,31.8,51.9,36.3,69.2,101.5,43.6,59.7,41.0,48.7,31.4,50.1,69.1,48.5,79.16,208.45,122.0,114.92,42.94,132.84,886.0,330.02,126.4,684.78,768.77,341.0,311.11,506.08,475.7,352.7,213.0,181.0,247.95,105.1,130.87,157.43,136.13,128.7,264.88,473.81,188.52,170.35,389.62,497.5,269.94,372.42,450.79,98.99,79.5,227.74,155.94,160.5,305.0,343.0,100.9,583.5,309.78
1940,11.48,58.6,56.4,58.8,38.2,37.7,57.7,34.7,36.2,44.4,25.1,33.9,48.1,68.2,39.0,71.3,59.7,41.0,48.7,50.6,43.2,55.5,38.7,69.13,197.67,128.0,103.43,56.92,97.61,601.0,347.55,99.7,751.85,400.93,446.0,414.63,410.37,431.8,272.4,224.0,244.0,158.78,139.72,71.58,226.49,157.62,128.38,220.19,429.89,197.09,158.32,379.6,423.89,484.44,372.31,283.08,100.8,96.3,130.27,168.73,226.0,265.0,260.0,79.7,653.47,337.67
1941,27.59,39.4,80.0,47.0,51.7,35.4,51.3,57.6,29.2,47.4,43.6,56.4,40.6,86.1,96.3,93.3,59.2,56.5,48.7,81.5,45.4,43.8,55.3,78.86,189.09,146.0,137.91,56.54,118.93,631.0,256.0,148.9,645.83,529.73,560.0,300.51,409.15,449.3,334.3,230.0,239.0,290.31,150.69,131.59,364.27,83.86,183.06,268.06,471.41,213.52,173.76,337.95,556.53,265.53,380.65,409.94,125.54,129.6,198.58,118.9,196.7,131.0,389.0,103.1,483.28,200.83
1942,5.57,36.9,89.1,29.3,49.1,52.2,64.1,61.2,61.0,48.9,27.7,56.2,65.9,30.7,112.3,77.8,58.7,25.4,48.7,88.3,56.6,43.2,86.2,78.69,187.58,178.0,89.49,49.13,119.16,561.0,210.22,119.3,809.19,488.56,344.0,383.26,569.11,360.3,390.3,225.0,192.0,167.47,86.51,107.23,175.28,105.64,164.74,356.42,491.58,270.34,141.64,457.91,573.32,188.28,336.92,393.09,125.49,81.0,311.15,82.45,248.97,243.0,194.0,79.8,394.06,343.29
1943,15.59,56.7,66.9,48.3,31.4,67.5,51.1,45.7,67.3,39.2,22.9,31.3,58.4,121.0,65.1,60.1,58.2,27.4,19.9,47.7,58.8,62.4,36.0,107.92,238.57,132.0,117.45,110.78,144.56,605.0,253.91,105.1,948.52,717.77,356.0,362.4,330.12,307.2,258.0,196.0,205.0,204.89,120.58,59.56,262.03,126.99,95.38,197.98,349.84,185.5,122.44,281.04,253.88,237.88,404.33,386.05,75.41,147.3,291.87,164.31,372.95,212.0,422.0,166.2,552.22,281.82
1944,20.78,66.6,69.3,50.2,39.7,64.9,31.7,87.2,49.1,29.9,36.5,31.3,57.8,80.1,133.8,84.9,57.8,35.8,39.7,54.7,107.2,48.1,33.6,97.83,207.08,86.0,139.82,61.65,120.14,707.0,278.08,213.5,770.04,622.27,536.0,403.64,438.91,474.7,269.9,199.0,152.0,257.0,80.22,165.19,205.17,115.27,95.38,213.92,461.04,248.94,137.31,462.58,503.77,309.29,315.56,366.78,75.41,76.5,240.54,115.35,319.99,214.0,426.0,132.1,470.84,227.86
1945,14.59,70.8,75.3,33.6,48.1,42.2,56.6,64.1,58.6,53.9,38.6,57.8,48.5,45.3,76.1,47.4,57.3,67.9,24.3,49.9,63.3,85.7,79.4,87.82,177.6,143.0,111.86,108.79,132.44,530.0,138.0,108.5,470.79,736.97,315.0,403.47,479.43,362.2,236.6,180.0,237.0,163.53,120.33,174.38,260.33,82.21,95.38,228.34,412.26,185.95,136.78,336.66,385.37,318.48,264.17,393.66,69.77,91.8,234.28,61.38,198.92,345.0,428.0,136.0,477.27,415.04
1946,22.14,69.2,74.9,34.7,46.0,41.9,49.8,52.6,38.4,40.0,40.6,57.2,104.4,84.3,130.9,52.4,58.4,22.4,55.3,47.4,70.8,32.1,76.5,77.87,118.75,126.0,97.9,88.28,143.93,653.0,131.28,127.8,913.13,719.01,476.0,403.3,477.64,421.8,330.0,210.0,214.0,239.4,68.76,189.17,259.44,98.54,95.2,230.01,402.75,183.62,121.01,380.54,457.36,332.58,259.52,245.74,111.98,61.2,180.47,178.35,142.0,236.0,504.0,95.2,388.65,314.82
1947,22.18,59.1,76.4,44.4,35.4,44.3,43.2,37.4,59.3,66.0,33.6,36.9,76.9,71.5,87.6,64.9,71.8,51.4,64.3,40.2,83.4,42.9,65.9,77.69,207.82,137.0,125.09,54.55,95.48,772.0,275.24,191.8,633.66,666.86,364.0,330.79,642.43,403.7,311.1,164.0,187.0,181.86,159.31,134.45,270.85,76.56,94.85,171.4,450.3,167.36,107.8,312.81,369.02,347.44,323.46,349.14,112.13,161.4,199.65,72.38,240.7,234.0,376.0,78.0,474.51,264.66
1948,4.1,53.1,68.4,48.0,31.4,71.2,42.8,56.0,63.8,49.7,35.6,40.8,72.4,63.0,139.9,47.4,61.9,28.3,40.0,56.1,40.6,49.5,37.2,101.67,184.21,126.0,114.22,63.28,79.7,884.0,292.56,96.9,787.3,604.51,389.0,444.31,448.51,354.3,218.7,173.0,212.0,226.66,173.56,82.76,171.86,136.51,125.92,171.14,359.31,212.11,141.98,341.3,406.74,300.82,311.76,266.94,95.96,148.5,189.9,106.89,205.13,166.0,279.0,78.1,386.17,379.76
1949,4.27,44.1,59.0,44.5,41.1,54.2,36.4,78.0,28.1,46.6,35.5,42.4,32.8,51.6,133.1,112.3,43.2,53.6,49.0,96.7,34.1,30.2,50.7,86.9,208.28,150.0,141.41,91.35,97.49,682.0,303.37,130.4,556.69,597.93,398.0,320.19,405.54,337.5,225.2,173.0,153.0,189.13,93.88,162.59,226.51,114.45,126.24,277.81,285.72,235.91,125.58,366.51,416.56,301.98,286.75,319.1,95.38,69.75,217.47,94.73,127.27,404.0,295.0,115.6,392.95,339.97
1950,25.6,48.4,52.9,40.1,41.2,31.1,43.8,96.0,23.6,60.7,50.7,54.4,51.6,32.8,145.4,59.8,58.6,33.2,33.5,65.4,34.1,49.4,71.4,81.84,221.46,95.0,88.61,84.15,138.59,698.0,258.42,163.7,739.13,638.9,278.0,412.96,412.41,309.0,274.0,263.0,196.0,278.5,82.02,95.72,280.98,124.79,143.51,209.16,423.84,199.05,93.95,323.07,305.78,352.39,267.93,269.48,96.43,117.6,458.16,153.65,197.9,363.0,401.0,118.0,470.46,272.66
1951,20.32,67.8,63.9,42.1,53.4,30.5,40.2,40.4,48.1,47.4,26.4,47.7,68.1,65.5,139.2,91.9,58.0,30.5,58.3,62.7,42.7,34.1,80.9,72.03,212.75,150.0,130.31,69.53,96.59,537.0,281.68,154.5,1045.06,603.19,624.0,392.15,452.0,531.1,227.5,243.0,237.0,210.61,108.16,116.23,243.82,107.96,125.05,246.07,418.98,180.54,173.12,310.69,463.84,344.86,340.93,486.52,74.98,63.7,301.42,171.87,288.39,394.0,417.0,100.4,382.53,317.1
1952,8.15,71.5,76.8,34.6,37.6,53.0,44.2,40.3,44.4,36.6,37.2,49.6,60.8,91.0,71.8,84.3,57.4,59.2,67.5,83.1,58.0,75.9,65.0,67.07,347.59,117.0,114.67,75.78,82.52,790.0,359.5,126.3,852.7,601.9,399.0,237.29,409.37,278.5,257.7,243.0,243.0,248.48,111.35,78.98,279.23,53.78,106.95,238.06,373.95,238.7,235.93,344.51,351.35,292.81,414.11,305.03,175.15,73.5,272.43,125.52,119.49,325.0,339.0,54.3,647.77,333.39
1953,12.3,65.1,68.1,39.5,32.4,48.1,48.9,39.8,55.1,39.2,28.4,39.1,51.2,107.1,141.0,47.0,56.8,41.0,22.6,111.1,80.1,72.8,60.5,62.14,153.26,133.0,134.39,52.58,72.87,681.0,326.64,143.5,833.72,547.1,383.0,371.26,440.49,498.8,347.7,205.0,218.0,191.11,170.66,78.75,229.39,85.79,119.83,266.68,384.18,247.09,134.33,380.26,474.15,420.91,337.37,351.04,144.98,63.7,207.59,116.51,231.83,285.0,285.0,190.4,457.49,373.61
1954,26.01,68.8,58.4,65.5,32.0,50.0,38.4,50.9,26.2,49.6,30.4,51.2,131.1,67.4,86.7,123.2,63.3,41.0,57.8,56.1,67.6,50.3,78.6,100.09,319.0,123.0,135.41,46.4,84.36,669.0,270.21,210.5,564.54,659.86,415.0,340.17,398.2,244.2,203.7,156.0,194.0,158.9,238.56,78.53,162.31,122.73,184.84,177.79,392.98,147.7,117.18,251.32,287.95,213.26,243.11,195.78,144.4,96.1,172.72,162.26,168.47,251.0,283.0,121.4,666.31,241.54
1955,34.82,68.1,62.7,76.5,50.4,69.8,45.4,44.4,39.7,35.5,49.9,32.7,95.2,67.3,97.0,88.3,42.1,41.0,28.0,68.1,52.1,51.0,73.4,99.73,188.8,167.0,108.33,91.94,105.08,827.0,280.66,141.5,847.37,512.34,571.0,474.1,332.08,342.2,234.1,189.0,123.0,213.5,93.62,62.66,251.71,148.3,169.0,173.71,295.53,144.29,94.49,233.45,305.79,304.96,305.35,408.45,146.2,107.1,207.87,157.46,131.66,198.0,442.0,87.2,655.43,213.44
1956,16.82,56.1,76.0,67.9,43.1,48.9,64.4,44.2,50.8,51.7,32.4,65.5,42.5,85.9,112.3,146.2,65.5,41.0,57.4,116.7,51.8,84.3,38.8,75.73,196.21,84.0,113.75,37.97,94.42,875.0,231.24,134.5,1137.95,611.1,295.0,288.49,451.97,469.6,318.9,215.0,203.0,243.06,119.74,109.29,209.09,115.54,184.38,260.97,430.39,189.72,147.56,374.0,361.01,298.15,379.48,308.3,170.05,110.7,235.87,116.94,186.96,328.0,228.0,157.0,528.5,199.23
1957,8.0,49.9,69.9,50.3,33.0,65.0,57.8,44.1,25.2,47.7,38.9,47.1,62.3,48.8,49.7,133.7,84.5,41.0,53.4,60.7,51.5,49.6,95.3,84.93,216.58,195.0,108.37,106.56,115.74,687.0,259.73,137.1,554.37,580.82,424.0,401.64,602.4,313.4,247.2,189.0,193.0,193.77,64.73,108.5,273.8,150.96,115.08,200.14,389.88,177.34,176.41,248.33,490.55,348.6,281.11,260.74,65.31,63.6,272.54,152.77,249.07,519.0,265.0,131.1,673.04,273.97
1958,2.6,82.6,46.7,41.5,46.7,66.8,42.2,81.6,46.4,62.3,36.6,47.2,99.2,83.6,91.7,145.5,89.1,41.0,53.1,54.2,51.2,21.3,47.5,56.46,210.84,153.0,144.49,53.91,73.84,773.0,246.4,135.9,745.31,443.95,438.0,350.01,503.33,325.9,219.9,232.0,221.0,175.99,86.34,76.94,278.45,92.94,199.46,238.48,409.44,222.7,234.14,327.17,407.06,264.12,298.0,354.62,131.18,43.2,112.44,119.36,233.14,348.0,353.0,141.8,715.82,347.93
1959,32.04,90.2,41.4,41.8,40.7,59.2,70.1,48.1,28.5,32.7,34.4,67.8,65.8,75.9,98.6,49.3,47.9,41.0,53.1,76.3,50.9,54.3,54.2,75.08,208.7,93.0,129.01,101.87,97.6,633.0,485.21,138.9,773.69,607.66,436.0,391.02,556.39,415.0,275.2,169.0,182.0,280.07,151.34,122.13,242.16,97.42,226.56,253.86,392.41,226.59,144.72,350.96,364.2,349.17,290.93,259.74,87.42,101.1,195.06,125.04,212.45,467.0,390.0,141.8,520.46,339.75
1960,7.14,44.6,52.9,59.8,40.9,25.7,120.6,55.7,53.4,64.6,49.4,67.9,54.6,63.7,70.8,127.5,60.2,41.0,53.1,47.4,50.6,36.8,76.8,116.77,188.68,99.0,118.9,49.14,132.18,661.0,288.75,156.0,820.55,530.0,551.0,411.41,624.27,469.2,254.3,202.0,245.0,148.63,112.74,90.81,189.56,132.04,123.93,268.08,632.67,143.82,144.25,408.28,503.96,395.72,401.33,421.26,89.59,61.25,240.78,125.04,267.08,187.0,299.0,102.8,525.91,196.59
1961,14.5,37.0,67.6,52.2,41.2,56.9,57.5,58.0,45.4,53.4,32.0,53.6,50.1,85.4,108.8,79.5,60.1,41.0,53.1,64.0,50.3,44.1,74.9,93.03,218.21,104.0,108.7,49.48,120.79,985.0,367.41,140.1,601.54,483.17,306.0,472.86,393.02,352.0,279.1,193.0,156.0,198.43,147.9,119.67,225.9,150.5,151.46,140.76,385.69,219.29,114.4,326.09,334.45,307.73,277.74,285.87,112.27,29.4,201.08,96.15,244.78,219.0,382.0,74.4,439.78,418.15
1962,15.42,49.7,56.2,44.7,41.0,67.4,48.9,73.0,44.1,46.3,38.1,49.7,69.5,77.9,102.8,92.3,59.9,41.0,53.1,48.9,50.0,53.5,82.0,120.35,223.73,95.0,129.41,116.46,161.89,600.0,255.6,124.4,1163.24,769.86,563.0,482.88,438.29,334.6,250.3,177.0,180.0,220.34,72.92,84.87,237.99,138.68,199.83,192.88,322.92,185.97,143.45,292.49,422.28,325.72,423.68,345.79,112.55,73.5,175.95,152.86,149.51,155.0,375.0,133.6,590.19,315.72
1963,18.78,63.1,53.5,49.9,41.2,107.4,57.8,53.1,64.2,55.1,39.9,56.8,99.6,39.9,120.7,130.0,59.7,51.0,53.1,85.1,49.7,53.8,57.0,82.92,240.37,85.0,125.67,91.17,78.86,525.0,225.5,129.6,905.21,664.34,409.0,379.96,475.14,402.7,255.0,213.0,171.0,225.86,113.65,84.91,242.81,166.4,205.4,222.35,461.76,197.74,173.32,252.91,384.1,393.34,328.73,285.21,92.0,171.5,392.57,153.95,217.36,254.0,371.0,140.7,594.89,314.44
1964,14.1,57.7,62.8,49.8,41.2,49.8,39.1,26.9,20.3,50.7,35.4,47.0,40.9,75.2,124.2,43.0,59.6,42.0,53.1,55.8,49.3,52.1,58.4,82.57,264.61,82.0,110.47,53.83,101.14,513.0,280.7,134.6,857.6,541.43,527.0,390.05,495.9,323.4,239.7,185.0,241.0,210.62,123.21,96.02,147.48,121.17,114.06,214.33,447.86,153.96,95.4,392.56,531.14,244.0,381.49,272.23,138.3,70.95,211.09,80.57,227.63,163.0,295.0,81.6,554.17,468.69
1965,25.6,49.0,75.0,52.9,30.1,45.8,30.2,107.3,40.5,40.5,33.1,46.9,83.2,44.1,81.4,72.3,76.7,33.4,53.1,123.7,49.0,70.2,61.6,114.03,169.79,104.0,129.68,66.88,122.07,737.0,284.24,115.6,675.94,623.31,557.0,328.35,385.53,368.0,281.9,240.0,231.0,171.22,117.32,53.4,141.05,77.03,207.52,229.66,372.12,187.27,114.1,290.66,403.57,386.43,318.82,343.46,169.35,90.0,252.93,102.83,401.19,212.0,303.0,150.3,619.2,426.25
1966,20.12,56.2,71.5,49.9,36.8,50.9,74.3,40.3,37.2,50.7,32.8,46.1,59.1,48.1,76.3,114.7,50.7,54.1,53.1,117.5,48.7,63.2,49.6,40.9,272.0,66.0,120.08,83.17,121.76,576.0,153.78,110.8,763.66,641.12,268.0,369.16,391.53,398.9,300.8,180.0,182.0,188.43,91.29,65.24,268.58,129.06,191.35,273.54,432.36,223.23,136.63,401.23,495.55,345.65,351.28,264.26,84.08,94.5,376.58,119.36,283.79,224.0,256.0,172.0,428.5,309.21
1967,22.62,47.3,60.1,61.0,56.4,60.8,40.9,48.6,40.5,33.8,48.9,45.4,46.2,67.1,62.0,101.9,48.3,41.4,53.1,40.4,58.3,61.9,51.0,72.48,126.57,88.0,125.28,56.32,180.28,681.0,219.77,125.3,722.35,389.21,592.0,410.05,511.75,338.0,227.6,186.0,210.0,260.43,175.18,154.14,202.8,104.69,135.17,228.12,353.09,162.07,124.89,325.17,319.44,291.02,292.0,302.83,114.05,119.1,253.57,141.07,309.8,309.0,322.0,111.8,636.06,255.6
1968,19.5,42.0,50.4,51.4,41.8,23.6,48.5,78.0,61.1,30.4,82.7,44.6,58.5,70.6,94.5,82.5,49.9,33.0,52.9,58.6,51.6,40.0,46.6,85.67,300.49,71.0,106.33,80.75,101.92,600.0,146.52,188.8,655.57,1069.59,273.0,491.79,410.22,265.0,233.0,171.0,257.0,178.58,135.27,97.91,202.14,66.6,134.52,201.45,396.5,237.85,147.0,272.12,400.97,251.75,218.8,227.67,180.97,72.0,269.44,146.57,217.34,493.0,445.0,131.1,364.43,416.77
1969,12.9,44.6,49.0,33.8,45.599999999999994,37.2,45.7,54.3,58.1,43.9,75.7,43.9,99.6,110.7,81.8,71.1,57.7,57.7,53.1,58.2,56.1,43.7,33.9,80.75,125.1,131.0,136.71,61.82,112.06,612.0,321.79,129.4,769.73,676.45,380.0,297.02,317.67,279.8,232.2,197.0,151.0,228.65,89.86,73.1,253.78,118.88,200.41,188.87,333.95,186.99,135.33,246.2,387.38,615.1,273.9,220.55,106.61,58.05,101.01,97.37,284.25,154.0,469.0,172.0,348.22,252.95
1970,37.1,45.9,50.7,57.4,49.4,26.6,27.1,49.8,46.7,88.6,77.2,45.1,53.8,78.5,87.7,45.1,42.8,29.0,52.1,97.4,62.8,24.9,44.4,75.88,204.98,107.0,109.89,66.77,91.73,706.0,138.97,85.3,880.66,606.64,342.0,389.02,466.76,423.9,283.6,199.0,180.0,168.96,145.7,84.92,201.25,71.3,130.33,253.85,442.38,170.05,162.43,307.98,356.57,492.65,310.07,383.01,110.79,144.05,239.37,96.86,251.56,247.0,172.0,121.7,613.78,367.45
1971,28.58,53.0,50.2,61.0,32.8,71.4,24.2,55.7,28.6,43.9,39.6,46.3,62.2,93.1,82.8,70.9,42.5,26.9,50.3,84.3,77.3,48.3,67.4,119.64,245.61,160.0,121.2,75.42,111.87,774.0,257.86,187.2,815.84,704.99,464.0,337.69,508.87,461.1,275.9,167.0,179.0,288.21,109.05,86.54,294.41,161.19,128.43,176.2,491.23,173.54,128.35,356.25,504.44,375.62,481.45,420.37,242.61,78.9,331.0,86.1,205.67,421.0,262.0,161.5,595.49,346.05
1972,27.9,56.1,71.6,57.3,40.9,32.9,78.1,85.0,44.2,42.6,85.0,46.3,37.5,71.7,103.9,39.2,72.5,41.0,50.3,75.7,40.8,37.0,90.0,79.26,226.99,120.0,116.35,84.79,79.18,738.0,277.38,100.6,730.77,775.03,528.0,245.52,386.91,449.4,289.2,262.0,208.0,194.27,257.39,72.14,205.89,147.16,183.84,311.5,398.17,205.51,128.01,372.29,329.12,244.82,363.53,462.75,85.46,125.35,237.36,143.33,288.91,299.0,179.0,102.3,848.72,356.59
1973,17.98,46.7,74.5,55.6,41.6,52.2,82.8,58.7,44.2,32.8,51.6,38.9,60.6,48.4,92.4,43.3,84.1,41.0,50.3,51.4,61.3,31.4,47.8,87.51,125.92,170.0,126.05,83.41,118.83,676.0,307.02,108.6,701.85,964.68,298.0,327.24,444.07,357.0,214.5,177.0,197.0,147.11,166.85,71.85,182.11,110.97,126.05,194.26,378.82,207.89,85.13,235.0,430.56,301.68,252.4,225.17,126.9,40.5,222.58,94.15,301.39,183.0,198.0,152.5,477.5,307.07
1974,20.94,49.9,66.1,47.0,41.2,54.0,52.4,69.7,44.2,39.3,65.8,45.0,85.8,79.7,96.9,41.3,57.7,41.0,50.3,57.1,65.4,72.4,64.0,86.9,214.87,117.0,130.09,83.39,98.76,863.0,261.78,230.6,701.5,915.29,685.0,337.33,360.73,305.2,272.1,161.0,183.0,191.95,144.47,59.66,219.41,132.75,102.88,197.09,295.65,179.21,134.25,337.74,388.85,344.7,319.1,239.18,106.64,58.5,268.22,136.62,155.25,337.0,354.0,57.9,642.25,223.8
1975,20.1,57.5,77.5,52.3,40.7,72.1,61.5,33.7,44.2,38.9,50.1,29.6,56.4,41.5,119.5,74.2,35.6,41.0,50.3,86.7,23.1,69.6,82.8,47.53,173.01,175.0,120.08,78.42,98.09,876.0,191.27,133.9,663.52,769.77,448.0,418.89,490.47,290.0,185.9,236.0,154.0,199.57,92.61,83.19,212.64,92.27,187.03,235.49,286.66,151.18,116.7,264.86,466.68,245.08,322.25,252.27,106.95,81.6,198.8,73.17,254.42,240.0,257.0,198.7,558.5,313.25
1976,24.16,65.0,88.4,45.5,41.2,42.6,31.8,67.5,44.2,41.4,58.1,73.5,95.5,45.3,50.6,85.5,93.6,41.0,50.3,75.7,56.2,32.6,61.0,55.89,275.42,170.0,129.68,65.17,144.59,753.0,278.7,202.1,700.89,817.16,296.0,316.62,363.86,452.4,244.8,153.0,205.0,231.76,118.72,139.75,239.07,134.56,118.19,120.26,432.24,144.42,130.82,409.01,399.22,484.54,281.74,331.23,147.31,63.0,206.53,132.78,123.99,224.0,285.0,134.7,490.35,372.98
1977,19.14,82.7,66.9,53.0,33.9,40.1,47.7,67.5,44.2,44.5,71.6,111.4,81.1,67.2,63.0,41.7,36.5,41.0,50.7,33.6,48.8,50.2,72.9,42.82,63.64,171.0,114.68,43.82,197.89,813.0,250.23,108.3,908.18,851.12,525.0,377.68,434.22,431.5,271.5,200.0,193.0,135.19,170.27,128.91,249.06,92.74,84.03,221.16,452.99,182.96,158.81,309.7,413.98,321.54,354.57,244.08,182.12,37.8,248.96,161.56,173.26,150.0,200.0,129.1,616.66,123.99
1978,28.88,80.4,63.8,67.8,48.2,52.2,33.6,46.5,44.2,66.8,74.9,46.1,35.7,56.2,105.6,78.4,51.5,49.6,64.1,118.9,41.7,38.8,84.2,59.65,117.5,142.0,116.57,68.6,102.22,531.0,191.61,112.2,1096.78,577.64,423.0,346.93,560.51,313.7,235.7,172.0,157.0,220.12,76.83,58.28,177.32,92.94,79.52,143.68,339.88,154.53,98.73,247.41,473.52,367.46,307.91,333.59,140.32,118.85,298.86,164.06,204.04,232.0,409.0,129.8,469.86,368.92
1979,26.64,73.3,94.5,59.6,33.7,51.6,37.3,80.6,44.2,39.7,50.8,44.5,68.1,61.3,113.3,79.9,60.4,32.3,46.5,75.6,45.9,42.8,46.1,42.39,222.19,91.0,138.16,93.1,171.05,711.0,347.9,108.6,850.06,839.05,393.0,397.85,442.23,426.2,273.0,223.0,233.0,277.04,101.79,173.64,265.77,109.4,104.19,132.24,467.14,212.97,153.13,427.39,553.75,308.75,342.12,357.07,79.78,107.5,169.44,80.45,210.06,259.0,572.0,103.9,743.95,305.22
1980,18.41,75.0,83.2,48.2,70.1,66.8,41.0,44.6,44.2,46.9,65.4,45.4,50.1,71.9,80.5,72.5,57.9,41.0,56.4,80.8,27.8,39.2,48.2,25.35,245.22,116.0,125.83,88.33,122.8,969.0,343.51,175.6,585.48,552.19,410.0,244.68,361.56,302.2,253.9,254.0,219.0,240.72,264.37,68.96,293.75,91.6,144.4,168.92,348.16,277.79,178.36,358.67,540.3,393.02,314.88,199.26,140.56,67.5,237.14,188.08,158.54,262.0,441.0,181.3,561.62,386.93
1981,36.16,58.8,48.8,56.5,34.6,38.1,44.7,52.2,44.5,46.9,56.1,44.2,52.4,109.1,100.7,75.3,57.6,41.0,55.8,56.6,50.5,72.6,50.3,67.25,200.49,146.0,136.14,170.64,50.67,1082.0,304.44,160.4,906.09,886.0,665.0,407.63,619.25,479.6,348.6,209.0,249.0,206.27,108.79,80.09,243.63,115.4,249.75,257.57,386.15,142.71,131.95,413.05,466.81,314.45,279.85,406.18,197.07,63.0,190.49,73.0,176.75,198.0,264.0,92.5,669.89,276.08
1982,17.32,61.7,48.4,70.9,26.3,52.2,48.4,70.8,44.2,46.9,68.1,39.2,117.5,53.1,39.5,86.0,57.4,41.0,55.3,80.3,39.5,36.5,38.9,25.09,123.91,222.0,121.56,124.06,50.47,690.0,202.74,134.8,1104.4,757.0,509.0,356.47,509.08,409.8,287.4,224.0,232.0,193.42,116.45,125.07,240.98,138.4,110.81,304.18,288.6,247.2,127.2,301.03,475.89,362.39,363.04,380.02,146.43,49.5,267.98,85.17,261.88,195.0,264.0,119.5,671.37,444.52
1983,38.12,83.2,68.0,65.1,40.8,52.05,48.5,53.3,43.9,46.9,36.9,40.1,70.1,58.4,94.9,122.8,57.2,58.5,45.3,91.8,26.2,43.3,86.1,49.96,182.45,130.0,127.9,130.46,80.41,726.0,288.57,210.9,943.44,495.0,571.0,356.36,484.2,471.9,281.4,162.0,176.0,258.81,79.25,90.35,243.37,80.5,184.88,363.82,374.99,210.29,109.6,342.87,531.71,345.91,378.04,350.82,155.21,73.8,305.28,214.4,196.92,217.0,264.0,145.4,672.6,369.2
1984,24.35,73.6,56.6,59.4,41.7,51.9,48.5,59.1,44.2,46.9,35.2,69.9,82.6,69.1,61.3,143.4,57.0,55.4,68.2,71.7,55.6,51.3,64.7,164.13,130.83,130.0,118.91,123.9,79.97,908.0,328.25,173.1,1064.44,588.0,340.0,346.04,637.28,505.0,380.8,247.0,238.0,235.97,137.13,89.84,246.76,63.9,117.19,379.62,447.67,168.81,139.48,397.91,562.99,308.87,410.83,475.97,77.1,59.45,153.05,111.07,244.38,158.0,264.0,178.8,543.27,393.34
1985,23.17,53.5,39.9,65.6,41.2,52.2,48.5,57.6,44.2,46.9,43.0,39.0,60.6,40.8,64.3,133.5,56.7,30.4,58.1,46.5,49.5,64.3,84.5,64.67,280.98,145.0,128.82,94.28,88.48,766.0,238.43,122.8,997.89,329.0,605.0,518.74,771.64,382.2,281.3,228.0,190.0,159.11,59.51,67.05,252.47,126.5,146.39,254.12,355.39,162.1,109.22,500.89,537.6,349.44,455.16,475.41,115.26,43.05,197.55,131.27,196.48,319.0,264.0,110.4,511.92,280.61
1986,6.94,53.6,44.7,58.2,41.150000000000006,52.2,48.5,58.8,44.2,47.5,45.1,56.4,101.8,51.6,72.7,91.7,56.1,30.2,44.8,32.9,40.0,47.4,52.6,95.76,262.72,114.0,139.29,87.06,106.82,814.0,188.87,94.4,714.92,737.0,511.0,244.02,261.43,350.4,251.4,197.0,197.0,179.34,52.05,111.11,276.42,105.4,82.57,190.81,318.71,169.32,187.19,377.56,477.86,241.72,336.71,221.76,189.6,94.0,242.18,167.34,193.36,226.0,264.0,82.3,603.12,322.39
