year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4
1925,-49.54,-32.8,-29.405,-44.65,-50.11,-47.22,-49.41,-50.23,-35.91,-23.71,-19.64,-55.3899,-19.9285,-29.232,-31.65,-22.8908,-31.60295,-34.60639474,-43.86487017
1926,-48.55,-32.69,-29.273,-44.97,-48.33,-48.39,-48.95,-50.18,-36.61,-23.91,-21.02,-53.8805,-20.7172,-30.119,-30.687,-22.2605,-31.972,-32.75469762,-41.99970614
1927,-47.5,-32.71,-30.364,-43.96,-48.64,-47.61,-48.82,-50.8,-38.1,-22.81,-23.16,-53.3656,-19.5678,-30.288,-32.635,-22.8367,-33.3222,-34.28782105,-42.4452324
1928,-46.46,-32.33,-29.866,-43.98,-48.93,-45.91,-50.57,-50.05,-35.55,-24.24,-20.99,-54.7025,-20.5641,-30.569,-32.178,-21.5651,-33.21415,-33.77039286,-43.3330535
1929,-46.47,-31.37,-31.073,-44.74,-48.07,-45.88,-51.9,-49.31,-33.23,-23.36,-23.54,-57.0034,-19.7769,-28.9,-33.75,-22.5082,-33.7222,-34.60253421,-44.24153013
1930,-43.34,-31.17,-28.877,-45.07,-47.78,-43.52,-49.52,-48.74,-34.21,-23.15,-20.81,-58.2034,-19.8941,-29.136,-32.219,-22.4982,-32.39405,-34.26630238,-42.6696721
1931,-41.81,-31.9,-29.58,-44.06,-45.6,-43.9,-49.55,-48.66,-36.6,-23.31,-19.07,-57.9258,-18.2964,-29.471,-32.526,-21.1342,-32.1692,-34.01444474,-42.08973093
1932,-41.65,-34.68,-29.971,-43.48,-41.79,-44.88,-49.95,-49.88,-34.32,-23.41,-20.82,-56.4279,-20.3487,-30.682,-32.266,-21.6193,-33.79205,-33.89152143,-43.135713
1933,-42.29,-34.08,-29.389,-42.51,-42.63,-41.47,-46.32,-50.71,-31.53,-24.69,-20.5,-54.2223,-21.3051,-30.072,-31.011,-22.5867,-33.46395,-34.12859474,-44.98654242
1934,-43.04,-33.05,-28.972,-42.05,-42.13,-41.71,-47.54,-50.66,-31.35,-23.35,-20.78,-51.6024,-19.5344,-30.052,-31.676,-23.0833,-33.08685,-34.32244286,-42.78709609
1935,-44.82,-30.86,-29.492,-42.57,-45.16,-41.59,-42.55,-50.86,-34.26,-23.74,-22.43,-52.6402,-20.2479,-30.804,-31.129,-22.5538,-33.38295,-34.87434211,-43.33142225
1936,-45.96,-34.17,-29.829,-46.33,-46.93,-45.43,-45.09,-46.32,-36.84,-22.7,-25.03,-54.674,-19.8209,-30.297,-30.978,-23.3035,-34.28415,-34.87154048,-40.43041356
1937,-45.01,-34.07,-30.117,-48.48,-47.16,-49.36,-47.44,-47.63,-35.31,-24.7,-22.19,-55.6054,-18.6637,-28.891,-32.694,-21.946,-34.25825,-34.95526842,-40.76231211
1938,-44.99,-35.4,-30.046,-47.1,-48.99,-47.74,-47.03,-45.61,-34.36,-23.44,-20.31,-54.3303,-20.6309,-28.815,-31.017,-23.1844,-31.38705,-33.55557857,-40.74622033
1939,-45.59,-33.79,-28.298,-45.94,-49.22,-46.29,-47.42,-42.4,-35.23,-21.53,-20.6,-50.9435,-20.5435,-29.858,-30.614,-21.7469,-30.6468,-33.14485,-42.5570775
1940,-45.64,-31.27,-27.739,-41.76,-50.31,-46.68,-47.54,-43.86,-33.19,-22.96,-20.39,-51.7323,-21.2304,-30.246,-31.294,-22.9746,-31.4079,-32.00455953,-40.454016
1941,-46.51,-32.01,-28.934,-43.06,-49.37,-47.61,-47.23,-45.89,-34.57,-23.46,-21.93,-54.3742,-20.7827,-29.576,-29.213,-22.3035,-31.15215,-32.84029211,-41.57678282
1942,-46.21,-34.37,-29.894,-43.47,-47.99,-48.6,-48.85,-48.38,-35.1,-22.13,-20.24,-56.7456,-19.1014,-28.7,-32.167,-21.6228,-32.847,-34.30288334,-42.9192032
1943,-44.56,-34.04,-31.507,-43.43,-48.72,-51.63,-50.19,-46.66,-36.31,-23.0,-19.34,-57.5617,-18.2623,-26.617,-34.047,-22.0262,-34.3568,-34.05051579,-41.92767508
1944,-43.98,-32.69,-28.594,-44.06,-45.9,-50.73,-47.84,-46.79,-36.55,-23.16,-21.14,-57.147,-19.9263,-27.783,-30.957,-22.7046,-33.56795,-33.30497143,-41.689999
1945,-43.94,-31.7,-28.186,-43.92,-44.45,-48.75,-46.3,-49.03,-32.76,-24.51,-19.76,-56.7197,-19.041,-29.969,-29.574,-22.8317,-31.1591,-33.52364737,-44.04674245
1946,-43.42,-32.81,-29.811,-43.45,-46.61,-46.75,-49.1,-48.48,-34.36,-23.03,-20.76,-56.1023,-20.2703,-29.914,-31.375,-23.2407,-31.44585,-32.89663095,-45.7131675
1947,-44.37,-35.17,-30.737,-44.6,-46.13,-46.17,-50.9,-47.4,-34.58,-23.65,-21.6,-54.496,-20.2094,-28.649,-32.117,-22.6933,-33.723,-34.48477895,-42.7303048
1948,-45.18,-34.46,-30.309,-44.45,-47.99,-50.71,-51.25,-50.1,-32.46,-21.76,-20.49,-52.2297,-20.0212,-28.342,-32.166,-21.8949,-33.98025,-34.66440238,-38.22479086
1949,-45.12,-33.39,-28.702,-44.28,-48.81,-50.94,-48.84,-48.49,-34.29,-24.24,-22.15,-55.5723,-20.5213,-29.258,-31.327,-22.252,-33.28095,-34.00045527,-39.91644813
1950,-46.3,-32.03,-30.107,-44.84,-47.43,-48.29,-47.11,-50.55,-34.49,-24.19,-23.94,-57.8172,-19.7747,-29.889,-31.138,-21.3597,-33.01285,-34.72862143,-43.94296162
1951,-47.05,-32.65,-30.661,-45.01,-47.59,-49.07,-45.91,-50.08,-34.77,-24.5,-22.99,-56.9081,-18.3369,-30.709,-30.704,-22.1041,-33.02785,-34.39219474,-39.14121663
1952,-44.65,-33.2,-30.496,-46.83,-47.84,-49.38,-47.35,-50.15,-34.22,-23.58,-19.28,-53.4488,-20.0081,-30.883,-31.866,-22.9906,-31.67805,-33.42559048,-43.60970529
1953,-45.22,-33.19,-28.887,-46.37,-46.84,-48.58,-49.0,-51.15,-35.65,-25.63,-19.6,-51.8499,-20.9675,-30.249,-31.451,-21.5128,-33.8158,-34.21582895,-46.08643243
1954,-45.49,-32.62,-29.722,-44.42,-46.55,-46.76,-51.15,-51.69,-34.72,-25.41,-19.77,-53.1425,-19.5463,-29.855,-32.705,-21.9265,-33.5001,-33.96027619,-44.81177863
1955,-45.45,-33.05,-31.234,-42.43,-46.98,-47.52,-48.82,-49.8,-33.93,-22.71,-20.02,-56.8553,-18.5493,-29.773,-33.262,-22.309,-33.8398,-33.80663948,-43.10390033
1956,-46.94,-33.15,-30.517,-41.93,-47.71,-47.79,-45.32,-49.25,-33.68,-24.03,-20.7,-56.879,-19.3009,-29.91,-32.608,-21.8099,-33.13975,-33.9441381,-41.82749756
1957,-47.12,-32.87,-30.701,-42.53,-45.5,-46.11,-42.45,-50.91,-32.2,-23.1,-20.22,-54.167,-19.0258,-29.687,-32.086,-23.0646,-34.35915,-34.09985263,-44.28770664
1958,-43.05,-31.42,-31.042,-43.44,-47.35,-47.22,-41.94,-48.26,-34.21,-24.39,-20.57,-52.4284,-20.6277,-31.454,-31.275,-21.5289,-32.7902,-35.81091667,-42.13531471
1959,-44.12,-35.17,-29.823,-42.7,-46.78,-46.61,-44.89,-49.68,-33.31,-21.5,-21.31,-52.5197,-20.0597,-30.271,-32.354,-23.1659,-34.21585,-35.01857632,-44.20752338
1960,-45.24,-32.45,-28.721,-41.5,-47.22,-50.02,-48.09,-48.69,-34.01,-22.36,-20.54,-52.2672,-18.3137,-29.761,-31.305,-22.9944,-32.9022,-35.16480715,-43.94082542
1961,-43.95,-29.95,-29.281,-40.35,-48.16,-45.56,-47.42,-47.13,-36.21,-23.71,-20.32,-52.9699,-19.9816,-29.769,-32.595,-22.7673,-31.9212,-32.97062632,-43.80149433
1962,-45.85,-29.66,-30.054,-40.63,-47.09,-43.31,-50.07,-49.51,-34.4,-22.29,-19.32,-55.323,-19.1524,-29.766,-31.865,-22.592,-34.16915,-34.58945715,-46.60743814
1963,-46.28,-32.13,-30.327,-41.93,-45.19,-45.9,-49.91,-51.58,-33.39,-24.53,-19.55,-55.6805,-20.1703,-29.836,-31.993,-22.08095,-33.31395,-35.31518948,-44.05019275
1964,-45.57,-32.19,-29.436,-39.46,-46.29,-49.74,-48.78,-50.89,-35.09,-22.03,-17.89,-57.2043,-19.111,-30.271,-31.986,-22.15205,-31.4288,-34.40415238,-45.9852089
1965,-44.74,-33.98,-30.84,-41.34,-47.47,-50.23,-49.72,-49.97,-34.22,-22.42,-16.51,-56.3779,-19.2851,-30.351,-31.839,-22.16705,-32.90885,-33.94379474,-45.38354355
1966,-43.56,-34.03,-29.927,-42.83,-47.5,-48.84,-51.5,-48.71,-31.61,-22.04,-19.74,-54.3248,-19.0484,-31.04,-30.641,-23.8139,-33.38405,-33.10647619,-45.44004646
