year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML08,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Ritscherflya Dronning Maud Land(100年)_δ18O_Ritscherflya Core E Dronning Maud Land d18O,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4,EPICA Dronning Maud Land
1471,,,-32.705,,,,,,,,,,-53.4885,,,,,-22.0839,,-34.30847632,,
1470,,,-28.354,,,,,,,,,,-52.0925,,,,,-21.3766,,-34.16001191,,
1469,,,-29.371,,,,,,,,,,-51.4813,,,,,-20.4548,,-34.05777894,,
1468,,,-31.081,,,,,,,,,,-50.9025,,,,,-23.5242,,-33.95171428,,
1467,,,-28.479,,,,,,,,,,-50.191,,,,,-21.5942,,-34.1787579,,
1466,,,-29.226,,,,,,,,,,-50.3062,,,,,-21.849,,-34.54267381,,
1465,,,-30.914,,,,,,,,,,-51.7005,,,,,-21.356,,-33.66733421,,
1464,,,-28.049,,,,,,,,,,-53.0457,,,,,-21.742,,-33.53008334,,
1463,,,-30.685,,,,,,,,,,-54.288,,,,,-22.4065,,-33.41935,,
1462,,,-28.057,,,,,,,,,,-55.0408,,,,,-22.9291,,-34.10712619,,
1461,,,-27.839,,,,,,,,,,-55.1339,,,,,-22.0999,,-33.63482894,,
1460,,,-29.677,,,,,,,,,,-55.2669,,,,,-22.3219,,-33.55145238,,
1459,,,-31.059,,,,,,,,,,-55.754,,,,,-23.1667,,-35.22257369,,
1458,,,-29.928,,,,,,,,,,-56.6881,,,,,-20.8049,,-35.60699048,,
1457,,,-28.734,,,,,,,,,,-57.6854,,,,,-21.5564,,-35.54377632,,
1456,,,-28.697,,,,,,,,,,-57.8708,,,,,-22.0377,,-35.95880238,,
1455,,,-29.851,,,,,,,,,,-57.4363,,,,,-22.4571,,-34.27317369,,
1454,,,-31.25,,,,,,,,,,-57.3323,,,,,-22.3473,,-34.24643572,,
1453,,,-31.212,,,,,,,,,,-56.6315,,,,,-21.4024,,-34.57441316,,
1452,,,-28.853,,,,,,,,,,-55.6954,,,,,-22.5765,,-34.51860238,,
1451,,,-31.615,,,,,,,,,,-54.8275,,,,,-22.5728,,-34.38462895,,
1450,,,-30.908,,,,,,,,,,-53.6824,,,,,-22.0031,,-34.16142381,,
1449,,,-30.966,,,,,,,,,,-52.918,,,,,-21.4563,,-33.40262895,,
1448,,,-29.807,,,,,,,,,,-53.6165,,,,,-22.5572,,-33.73377857,,
1447,,,-28.432,,,,,,,,,,-54.12,,,,,-21.9949,,-33.69807106,,
1446,,,-30.105,,,,,,,,,,-55.5593,,,,,-22.7871,,-33.60011905,,
1445,,,-27.268,,,,,,,,,,-54.5189,,,,,-22.9183,,-33.56927894,,
1444,,,-28.099,,,,,,,,,,-54.2907,,,,,-22.0192,,-33.60109286,,
1443,,,-29.788,,,,,,,,,,-54.3416,,,,,-22.8499,,-33.31100263,,
1442,,,-31.35,,,,,,,,,,-54.2327,,,,,-22.9992,,-34.03846191,,
1441,,,-31.258,,,,,,,,,,-54.0249,,,,,-21.4491,,-34.32363684,,
1440,,,-27.19,,,,,,,,,,-53.5922,,,,,-22.1827,,-34.67634286,,
1439,,,-29.886,,,,,,,,,,-53.0816,,,,,-22.172,,-33.74956842,,
1438,,,-28.5,,,,,,,,,,-52.9055,,,,,-20.7534,,-33.43110476,,
1437,,,-28.139,,,,,,,,,,-53.1201,,,,,-22.1589,,-32.66961053,,
1436,,,-28.1925,,,,,,,,,,-53.1228,,,,,-22.9151,,-33.82806905,,
1435,,,-28.246,,,,,,,,,,-53.694,,,,,-21.4714,,-34.92774211,,
1434,,,-30.733,,,,,,,,,,-54.9447,,,,,-22.7421,,-34.15330476,,
1433,,,-30.967,,,,,,,,,,-56.3396,,,,,-22.0812,,-32.22412106,,
1432,,,-29.911,,,,,,,,,,-57.0749,,,,,-21.0367,,-33.15670476,,
1431,,,-31.223,,,,,,,,,,-57.2695,,,,,-22.1756,,-33.53956842,,
1430,,,-30.412,,,,,,,,,,-56.8431,,,,,-21.3642,,-33.46344524,,
1429,,,-29.145,,,,,,,,,,-56.5849,,,,,-22.2504,,-33.03632894,,
1428,,,-29.143,,,,,,,,,,-56.0094,,,,,-22.1862,,-33.56416905,,
1427,,,-28.578,,,,,,,,,,-54.6876,,,,,-21.5881,,-33.46706842,,
1426,,,-29.334,,,,,,,,,,-53.3806,,,,,-21.799,,-34.31200953,,
1425,,,-28.453,,,,,,,,,,-53.1133,,,,,-22.5094,,-34.04341316,,
1424,,,-28.455,,,,,,,,,,-53.2729,,,,,-21.5856,,-34.37516191,,
1423,,,-31.069,,,,,,,,,,-54.4634,,,,,-21.8848,,-33.56366053,,
1422,,,-28.967,,,,,,,,,,-56.0862,,,,,-22.7729,,-34.01569524,,
1421,,,-28.988,,,,,,,,,,-56.7642,,,,,-23.1281,,-33.49483948,,
1420,,,-30.082,,,,,,,,,,-56.0474,,,,,-23.4039,,-33.113,,
1419,,,-30.381,,,,,,,,,,-54.8634,,,,,-21.615,,-34.66384474,,
1418,,,-31.738,,,,,,,,,,-54.6186,,,,,-22.1842,,-34.37469762,,
1417,,,-30.467,,,,,,,,,,-53.6573,,,,,-21.5033,,-34.16283158,,
1416,,,,,,,,,,,,,-55.1043,,,,,-22.1632,,-33.67943572,,
1415,,,,,,,,,,,,,-56.6716,,,,,-21.5156,,-35.08408158,,
1414,,,,,,,,,,,,,-57.3435,,,,,-21.7265,,-34.4221119,,
1413,,,,,,,,,,,,,-57.3082,,,,,-20.5881,,-33.59037895,,
1412,,,,,,,,,,,,,-56.9204,,,,,-21.7951,,-33.22335476,,
1411,,,,,,,,,,,,,-56.2622,,,,,-22.1886,,-33.57394474,,
1410,,,,,,,,,,,,,-55.2227,,,,,-22.5386,,-33.33798334,,
1409,,,,,,,,,,,,,-54.8073,,,,,-21.0606,,-34.49505263,,
1408,,,,,,,,,,,,,-54.9401,,,,,-22.2266,,-32.84389524,,
1407,,,,,,,,,,,,,-55.0806,,,,,-22.2813,,-32.00535,,
1406,,,,,,,,,,,,,-55.6015,,,,,-22.0213,,-32.41845476,,
1405,,,,,,,,,,,,,-55.8376,,,,,-20.596,,-32.85647895,,
1404,,,,,,,,,,,,,-54.7039,,,,,-22.2984,,-31.9299,,
1403,,,,,,,,,,,,,-53.4272,,,,,-21.9377,,-33.45668948,,
1402,,,,,,,,,,,,,-53.477,,,,,-21.8298,,-32.95202619,,
1401,,,,,,,,,,,,,-54.4088,,,,,-21.061,,-33.43987895,,
1400,,,,,,,,,,,,,-56.4754,,,,,-22.4745,,-34.34109524,,
1399,,,,,,,,,,,,,-57.4865,,,,,-21.3522,,-34.42048684,,
1398,,,,,,,,,,,,,-57.7383,,,,,-21.4757,,-34.39855,,
1397,,,,,,,,,,,,,-57.228,,,,,-21.0399,,-33.47450263,,
1396,,,,,,,,,,,,,-56.3872,,,,,-21.8664,,-34.61424524,,
1395,,,,,,,,,,,,,-55.9555,,,,,-22.2191,,-34.68162632,,
1394,,,,,,,,,,,,,-55.717,,,,,-21.4347,,-33.59480953,,
1393,,,,,,,,,,,,,-55.7151,,,,,-23.0331,,-33.32867106,,
1392,,,,,,,,,,,,,-56.0974,,,,,-22.0983,,-33.78629762,,
1391,,,,,,,,,,,,,-55.9097,,,,,-21.9662,,-33.66635,,
1390,,,,,,,,,,,,,-55.0164,,,,,-22.2309,,-34.78984524,,
1389,,,,,,,,,,,,,-53.6749,,,,,-21.9348,,-34.77326053,,
1388,,,,,,,,,,,,,-52.6404,,,,,-21.5767,,-34.65274286,,
1387,,,,,,,,,,,,,-52.7872,,,,,-21.8755,,-33.63676579,,
1386,,,,,,,,,,,,,-53.3825,,,,,-21.4878,,-34.42159762,,
1385,,,,,,,,,,,,,-53.0826,,,,,-22.0243,,-34.58525,,
1384,,,,,,,,,,,,,-52.1859,,,,,-22.0687,,-34.00222857,,
1383,,,,,,,,,,,,,-52.477,,,,,-21.4429,,-34.82654474,,
1382,,,,,,,,,,,,,-53.5971,,,,,-21.1133,,-34.41536905,,
1381,,,,,,,,,,,,,-54.0508,,,,,-23.2696,,-34.13005,,
1380,,,,,,,,,,,,,-53.6633,,,,,-21.4813,,-34.31696429,,
1379,,,,,,,,,,,,,-53.9383,,,,,-22.18,,-34.3643579,,
1378,,,,,,,,,,,,,-54.0801,,,,,-21.5716,,-33.59597381,,
1377,,,,,,,,,,,,,-54.2338,,,,,-23.1879,,-34.64675789,,
1376,,,,,,,,,,,,,-54.7305,,,,,-21.7862,,-34.1685881,,
1375,,,,,,,,,,,,,-55.0374,,,,,-22.5587,,-34.06369211,,
1374,,,,,,,,,,,,,-54.6643,,,,,-20.6339,,-34.10850476,,
1373,,,,,,,,,,,,,-54.3697,,,,,-22.2251,,-33.13214737,,
1372,,,,,,,,,,,,,-54.0425,,,,,-21.8709,,-33.07840715,,
1371,,,,,,,,,,,,,-53.8593,,,,,-23.4441,,-34.46746316,,
1370,,,,,,,,,,,,,-53.6398,,,,,-21.7805,,-33.44595953,,
1369,,,,,,,,,,,,,-52.9152,,,,,-20.764,,-34.49522632,,
1368,,,,,,,,,,,,,-52.9771,,,,,-21.8343,,-34.21181667,,
1367,,,,,,,,,,,,,-53.0826,,,,,-23.0421,,-33.72309737,,
1366,,,,,,,,,,,,,-53.0849,,,,,-21.4818,,-33.00291191,,
1365,,,,,,,,,,,,,-53.0368,,,,,-22.2796,,-33.45556316,,
1364,,,,,,,,,,,,,-53.5085,,,,,-22.4863,,-33.56824285,,
1363,,,,,,,,,,,,,-53.722,,,,,-22.7226,,-33.67463948,,
1362,,,,,,,,,,,,,-53.3534,,,,,-22.2746,,-32.97728095,,
1361,,,,,,,,,,,,,-53.587,,,,,-22.4189,,-33.57391579,,
1360,,,,,,,,,,,,,-53.808,,,,,-22.2333,,-35.27039048,,
1359,,,,,,,,,,,,,-53.5178,,,,,-21.4996,,-33.77373421,,
1358,,,,,,,,,,,,,-52.7935,,,,,-22.1038,,-33.74590238,,
1357,,,,,,,,,,,,,-52.3992,,,,,-21.4927,,-34.38211316,,
1356,,,,,,,,,,,,,-53.1138,,,,,-21.6353,,-34.30313095,,
1355,,,,,,,,,,,,,-54.1608,,,,,-22.4652,,-34.62812895,,
1354,,,,,,,,,,,,,-54.7805,,,,,-21.7313,,-33.66636191,,
1353,,,,,,,,,,,,,-55.0246,,,,,-21.641,,-32.84287894,,
1352,,,,,,,,,,,,,-55.6613,,,,,-22.4245,,-33.36425476,,
1351,,,,,,,,,,,,,-56.2065,,,,,-22.0626,,-33.35531316,,
1350,,,,,,,,,,,,,-56.2203,,,,,-21.8055,,-33.56897857,,
1349,,,,,,,,,,,,,-55.0785,,,,,-20.5903,,-33.12993684,,
1348,,,,,,,,,,,,,-53.7693,,,,,-20.0148,,-34.55515,,
1347,,,,,,,,,,,,,-53.8418,,,,,-22.28,,-33.83364211,,
1346,,,,,,,,,,,,,-54.0545,,,,,-21.5456,,-34.27989286,,
1345,,,,,,,,,,,,,-54.2474,,,,,-23.7136,,-34.78393158,,
1344,,,,,,,,,,,,,-53.3745,,,,,-22.2252,,-34.2698881,,
1343,,,,,,,,,,,,,-52.3976,,,,,-22.0283,,-33.04068421,,
1342,,,,,,,,,,,,,-52.61,,,,,-20.8699,,-34.38734762,,
1341,,,,,,,,,,,,,-53.8865,,,,,-21.8199,,-33.54174474,,
1340,,,,,,,,,,,,,-54.8293,,,,,-21.316,,-33.69206191,,
1339,,,,,,,,,,,,,-54.9678,,,,,-21.4986,,-33.40585263,,
1338,,,,,,,,,,,,,-55.107,,,,,-21.835,,-34.31572381,,
1337,,,,,,,,,,,,,-56.3087,,,,,-21.5322,,-34.53263421,,
1336,,,,,,,,,,,,,-56.9062,,,,,-22.4737,,-33.07135953,,
1335,,,,,,,,,,,,,-57.0995,,,,,-22.1197,,-34.68503158,,
1334,,,,,,,,,,,,,-57.3119,,,,,-23.1951,,-33.39925476,,
1333,,,,,,,,,,,,,-57.516,,,,,-21.7261,,-33.17745,,
1332,,,,,,,,,,,,,-57.3812,,,,,-22.6814,,-34.49501429,,
1331,,,,,,,,,,,,,-57.1733,,,,,-20.9742,,-32.50105,,
1330,,,,,,,,,,,,,-57.1286,,,,,-21.4034,,-33.21964286,,
1329,,,,,,,,,,,,,-56.9313,,,,,-21.7264,,-34.77985263,,
1328,,,,,,,,,,,,,-56.4069,,,,,-22.1817,,-35.2369881,,
1327,,,,,,,,,,,,,-55.3261,,,,,-21.1015,,-33.72066316,,
1326,,,,,,,,,,,,,-54.8927,,,,,-22.6381,,-33.60825476,,
1325,,,,,,,,,,,,,-55.6697,,,,,-22.0563,,-34.43458684,,
1324,,,,,,,,,,,,,-56.2407,,,,,-20.8832,,-33.91374524,,
1323,,,,,,,,,,,,,-56.3689,,,,,-21.5786,,-34.93362895,,
1322,,,,,,,,,,,,,-56.398,,,,,-22.6055,,-34.4705,,
1321,,,,,,,,,,,,,-56.286,,,,,-21.1426,,-33.53117369,,
1320,,,,,,,,,,,,,-55.8574,,,,,-22.5161,,-34.41207381,,
1319,,,,,,,,,,,,,-54.8491,,,,,-22.3414,,-33.8554,,
1318,,,,,,,,,,,,,-52.9933,,,,,-21.1257,,-34.0102881,,
1317,,,,,,,,,,,,,-51.5474,,,,,-21.7311,,-34.22137106,,
1316,,,,,,,,,,,,,-52.0096,,,,,-21.9772,,-33.4420881,,
1315,,,,,,,,,,,,,-53.5215,,,,,-22.6233,,-33.68871579,,
1314,,,,,,,,,,,,,-54.5362,,,,,-22.5592,,-33.06087143,,
1313,,,,,,,,,,,,,-54.6084,,,,,-22.1513,,-33.55986053,,
1312,,,,,,,,,,,,,-55.0165,,,,,-22.0328,,-33.18728572,,
1311,,,,,,,,,,,,,-55.0763,,,,,-21.455,,-32.96968421,,
1310,,,,,,,,,,,,,-54.9417,,,,,-20.9307,,-33.35337381,,
1309,,,,,,,,,,,,,-55.193,,,,,-22.5325,,-33.53777632,,
1308,,,,,,,,,,,,,-56.0447,,,,,-22.526,,-33.43943572,,
1307,,,,,,,,,,,,,-56.2251,,,,,-21.4234,,-32.95815263,,
1306,,,,,,,,,,,,,-55.8862,,,,,-22.1638,,-32.62655953,,
1305,,,,,,,,,,,,,-55.5539,,,,,-20.8539,,-33.81978421,,
1304,,,,,,,,,,,,,-55.729,,,,,-21.5256,,-34.70686667,,
1303,,,,,,,,,,,,,-55.6965,,,,,-21.616,,-33.69633948,,
1302,,,,,,,,,,,,,-55.6862,,,,,-21.3214,,-33.57142619,,
1301,,,,,,,,,,,,,-55.2005,,,,,-21.7879,,-32.94879474,,
1300,,,,,,,,,,,,,-55.0061,,,,,-23.799,,-33.08289524,,
1299,,,,,,,,,,,,,-55.0934,,,,,-23.1041,,-34.44567106,,
1298,,,,,,,,,,,,,-55.1493,,,,,-21.817,,-34.30075953,,
1297,,,,,,,,,,,,,-55.3271,,,,,-21.2619,,-34.17621053,,
1296,,,,,,,,,,,,,-55.6412,,,,,-22.0978,,-33.25734762,,
1295,,,,,,,,,,,,,-55.5102,,,,,-22.7901,,-33.84655263,,
1294,,,,,,,,,,,,,-54.7098,,,,,-22.034,,-35.28713095,,
1293,,,,,,,,,,,,,-53.6117,,,,,-22.8516,,-35.30681053,,
1292,,,,,,,,,,,,,-53.141,,,,,-22.771,,-34.96436191,,
1291,,,,,,,,,,,,,-53.5395,,,,,-22.6585,,-34.76720263,,
1290,,,,,,,,,,,,,-55.2241,,,,,-22.4132,,-33.99676429,,
1289,,,,,,,,,,,,,-56.7234,,,,,-22.3115,,-34.21791579,,
1288,,,,,,,,,,,,,-57.8248,,,,,-23.0586,,-34.26138572,,
1287,,,,,,,,,,,,,-57.7449,,,,,-23.212,,-34.18510263,,
1286,,,,,,,,,,,,,-57.0082,,,,,-21.8986,,-33.2897381,,
1285,,,,,,,,,,,,,-55.2486,,,,,-22.2595,,-33.14443421,,
1284,,,,,,,,,,,,,-54.2684,,,,,-22.6665,,-34.06564286,,
1283,,,,,,,,,,,,,-54.4751,,,,,-22.6443,,-31.78738421,,
1282,,,,,,,,,,,,,-54.9574,,,,,-21.0968,,-33.11264048,,
1281,,,,,,,,,,,,,-54.883,,,,,-21.7793,,-34.09327632,,
1280,,,,,,,,,,,,,-54.396,,,,,-23.0848,,-34.60902619,,
1279,,,,,,,,,,,,,-54.0471,,,,,-21.8862,,-34.80675,,
1278,,,,,,,,,,,,,-54.3031,,,,,-22.0487,,-34.21202619,,
1277,,,,,,,,,,,,,-53.9117,,,,,-23.2688,,-34.84585,,
1276,,,,,,,,,,,,,-53.4841,,,,,-23.3009,,-33.73734762,,
1275,,,,,,,,,,,,,-53.9153,,,,,-23.6793,,-34.22240527,,
1274,,,,,,,,,,,,,-54.2176,,,,,-22.7054,,-34.07953334,,
1273,,,,,,,,,,,,,-54.2022,,,,,-21.6252,,-33.58187632,,
1272,,,,,,,,,,,,,-54.3581,,,,,-22.6827,,-34.33331429,,
1271,,,,,,,,,,,,,-54.8282,,,,,-21.486,,-33.91697106,,
1270,,,,,,,,,,,,,-55.2276,,,,,-22.6857,,-34.6457881,,
1269,,,,,,,,,,,,,-55.4547,,,,,-22.8765,,-33.9831079,,
1268,,,,,,,,,,,,,-55.14,,,,,-21.955,,-33.93241429,,
1267,,,,,,,,,,,,,-55.1985,,,,,-22.2725,,-34.35169473,,
1266,,,,,,,,,,,,,-55.1734,,,,,-23.0524,,-34.41388333,,
1265,,,,,,,,,,,,,-54.9614,,,,,-23.2516,,-34.70023158,,
1264,,,,,,,,,,,,,-54.6694,,,,,-22.9763,,-32.92792857,,
1263,,,,,,,,,,,,,-54.4142,,,,,-21.8498,,-32.72960527,,
1262,,,,,,,,,,,,,-54.4006,,,,,-21.6634,,-33.17994285,,
1261,,,,,,,,,,,,,-54.7638,,,,,-21.5108,,-34.20571579,,
1260,,,,,,,,,,,,,-55.4277,,,,,-22.6187,,-34.58585715,,
1259,,,,,,,,,,,,,-56.59,,,,,-23.5206,,-34.22187369,,
1258,,,,,,,,,,,,,-57.7313,,,,,-21.7711,,-33.96293095,,
1257,,,,,,,,,,,,,-57.1468,,,,,-22.5199,,-33.87964737,,
1256,,,,,,,,,,,,,-56.374,,,,,-21.6407,,-32.90580953,,
1255,,,,,,,,,,,,,-55.2746,,,,,-21.5341,,-34.1905579,,
1254,,,,,,,,,,,,,-53.5379,,,,,-22.3522,,-33.74186667,,
1253,,,,,,,,,,,,,-52.1655,,,,,-23.312,,-33.47363684,,
1252,,,,,,,,,,,,,-51.5837,,,,,-22.7117,,-32.36377857,,
1251,,,,,,,,,,,,,-51.6132,,,,,-21.561,,-33.67765527,,
1250,,,,,,,,,,,,,-52.5438,,,,,-21.4754,,-33.47795953,,
1249,,,,,,,,,,,,,-53.9285,,,,,-21.8417,,-33.39788684,,
1248,,,,,,,,,,,,,-55.3528,,,,,-22.1366,,-33.67587619,,
1247,,,,,,,,,,,,,-55.8825,,,,,-22.3966,,-34.39267106,,
1246,,,,,,,,,,,,,-56.0146,,,,,-21.8774,,-32.63366429,,
1245,,,,,,,,,,,,,-56.1345,,,,,-21.6251,,-34.22190527,,
1244,,,,,,,,,,,,,-56.216,,,,,-22.1082,,-33.41706667,,
1243,,,,,,,,,,,,,-55.4301,,,,,-21.7818,,-33.35047632,,
1242,,,,,,,,,,,,,-54.4592,,,,,-21.4906,,-32.78374048,,
1241,,,,,,,,,,,,,-54.2822,,,,,-22.4819,,-33.07065,,
1240,,,,,,,,,,,,,-54.8637,,,,,-21.9295,,-32.46711191,,
1239,,,,,,,,,,,,,-55.4236,,,,,-21.586,,-34.22870527,,
1238,,,,,,,,,,,,,-55.9972,,,,,-21.8047,,-33.8808,,
1237,,,,,,,,,,,,,-56.5936,,,,,-22.519,,-32.77813948,,
1236,,,,,,,,,,,,,-56.5426,,,,,-22.6815,,-33.28470238,,
1235,,,,,,,,,,,,,-55.6518,,,,,-20.431,,-33.3557,,
1234,,,,,,,,,,,,,-54.4751,,,,,-21.667,,-34.43695,,
1233,,,,,,,,,,,,,-52.4539,,,,,-21.6669,,-34.26938421,,
1232,,,,,,,,,,,,,-51.6847,,,,,-21.8974,,-34.09141191,,
1231,,,,,,,,,,,,,-52.5602,,,,,-22.4417,,-34.39205,,
1230,,,,,,,,,,,,,-54.4847,,,,,-23.628,,-34.06445238,,
1229,,,,,,,,,,,,,-56.0359,,,,,-22.6833,,-33.72052632,,
1228,,,,,,,,,,,,,-56.5348,,,,,-22.4671,,-33.41704762,,
1227,,,,,,,,,,,,,-56.0436,,,,,-22.5898,,-34.02053158,,
1226,,,,,,,,,,,,,-54.8314,,,,,-21.1296,,-33.52738334,,
1225,,,,,,,,,,,,,-54.2945,,,,,-21.8017,,-33.26631579,,
1224,,,,,,,,,,,,,-54.9321,,,,,-21.4566,,-33.39476429,,
1223,,,,,,,,,,,,,-55.3002,,,,,-22.5722,,-34.15561579,,
1222,,,,,,,,,,,,,-55.333,,,,,-23.0986,,-34.35898334,,
1221,,,,,,,,,,,,,-54.9847,,,,,-22.5842,,-34.14427895,,
1220,,,,,,,,,,,,,-54.9017,,,,,-22.0848,,-33.05065715,,
1219,,,,,,,,,,,,,-55.3108,,,,,-21.0848,,-33.07551316,,
1218,,,,,,,,,,,,,-55.5891,,,,,-21.2935,,-33.9539,,
1217,,,,,,,,,,,,,-56.2746,,,,,-22.3568,,-34.29287369,,
1216,,,,,,,,,,,,,-55.8769,,,,,-21.6425,,-33.51098572,,
1215,,,,,,,,,,,,,-54.9084,,,,,-20.8447,,-33.47513684,,
1214,,,,,,,,,,,,,-53.5263,,,,,-22.1809,,-33.18678334,,
1213,,,,,,,,,,,,,-52.415,,,,,-23.0467,,-33.45308948,,
1212,,,,,,,,,,,,,-52.5226,,,,,-21.8167,,-32.92893334,,
1211,,,,,,,,,,,,,-53.2103,,,,,-23.1956,,-33.37879737,,
1210,,,,,,,,,,,,,-53.6506,,,,,-21.3686,,-33.41711191,,
1209,,,,,,,,,,,,,-54.1778,,,,,-22.0293,,-32.45954737,,
1208,,,,,,,,,,,,,-54.2681,,,,,-22.1908,,-33.59247143,,
1207,,,,,,,,,,,,,-53.6874,,,,,-23.1636,,-33.82131316,,
1206,,,,,,,,,,,,,-53.5352,,,,,-22.1411,,-33.80500476,,
1205,,,,,,,,,,,,,-53.9556,,,,,-23.4162,,-32.93551316,,
1204,,,,,,,,,,,,,-54.1894,,,,,-20.8744,,-32.16985,,
1203,,,,,,,,,,,,,-54.1648,,,,,-21.4895,,-33.16558684,,
1202,,,,,,,,,,,,,-54.4578,,,,,-20.8594,,-32.99929286,,
1201,,,,,,,,,,,,,-54.4926,,,,,-22.0708,,-33.01582369,,
1200,,,,,,,,,,,,,-54.434,,,,,-21.8681,,-33.81538572,,
1199,,,,,,,,,,,,,-54.032,,,,,-23.4335,,-33.73026316,,
1198,,,,,,,,,,,,,-53.454,,,,,-22.4089,,-33.34000238,,
1197,,,,,,,,,,,,,-53.1319,,,,,-21.2009,,-32.72525263,,
1196,,,,,,,,,,,,,-53.4835,,,,,-21.8608,,-33.35735714,,
1195,,,,,,,,,,,,,-53.8427,,,,,-22.0032,,-34.26094211,,
1194,,,,,,,,,,,,,-54.2262,,,,,-23.7709,,-33.91822857,,
1193,,,,,,,,,,,,,-54.991,,,,,-23.3656,,-34.19146579,,
1192,,,,,,,,,,,,,-55.7359,,,,,-21.8463,,-34.18656191,,
1191,,,,,,,,,,,,,-56.1942,,,,,-22.2808,,-33.46702632,,
1190,,,,,,,,,,,,,-56.6429,,,,,-22.4655,,-32.46989048,,
1189,,,,,,,,,,,,,-56.7156,,,,,-22.2205,,-34.11432632,,
1188,,,,,,,,,,,,,-55.9149,,,,,-22.3028,,-34.22505715,,
1187,,,,,,,,,,,,,-54.9433,,,,,-22.5566,,-32.93282895,,
1186,,,,,,,,,,,,,-54.2509,,,,,-21.1734,,-33.50002857,,
1185,,,,,,,,,,,,,-53.5508,,,,,-21.0359,,-33.83591842,,
1184,,,,,,,,,,,,,-52.3979,,,,,-22.5176,,-33.10683334,,
1183,,,,,,,,,,,,,-52.5944,,,,,-22.2337,,-35.0027,,
1182,,,,,,,,,,,,,-53.0396,,,,,-21.9781,,-34.18338334,,
1181,,,,,,,,,,,,,-53.8745,,,,,-22.225,,-34.13039474,,
1180,,,,,,,,,,,,,-54.3542,,,,,-22.0928,,-33.19481429,,
1179,,,,,,,,,,,,,-54.1047,,,,,-21.8987,,-32.97992632,,
1178,,,,,,,,,,,,,-53.5874,,,,,-23.013,,-33.97569048,,
1177,,,,,,,,,,,,,-53.0869,,,,,-21.7888,,-32.85448684,,
1176,,,,,,,,,,,,,-52.089,,,,,-21.407,,-33.55870476,,
1175,,,,,,,,,,,,,-50.557,,,,,-21.6425,,-33.91514737,,
1174,,,,,,,,,,,,,-50.2785,,,,,-21.804,,-34.11350715,,
1173,,,,,,,,,,,,,-51.5339,,,,,-21.4168,,-34.18453421,,
1172,,,,,,,,,,,,,-52.8805,,,,,-22.5246,,-34.75605476,,
1171,,,,,,,,,,,,,-54.0423,,,,,-22.4948,,-34.28921579,,
1170,,,,,,,,,,,,,-54.0894,,,,,-23.1402,,-33.64071667,,
1169,,,,,,,,,,,,,-54.1268,,,,,-22.159,,-33.42551316,,
1168,,,,,,,,,,,,,-53.3007,,,,,-22.6336,,-33.63781191,,
1167,,,,,,,,,,,,,-53.7888,,,,,-22.9858,,-34.91679737,,
1166,,,,,,,,,,,,,-54.9506,,,,,-23.1385,,-35.77072381,,
1165,,,,,,,,,,,,,-55.2584,,,,,-21.854,,-34.26906316,,
1164,,,,,,,,,,,,,-54.8513,,,,,-22.3845,,-34.18477143,,
1163,,,,,,,,,,,,,-53.8177,,,,,-23.2979,,-33.9580079,,
1162,,,,,,,,,,,,,-53.056,,,,,-21.6074,,-34.2579,,
1161,,,,,,,,,,,,,-52.3901,,,,,-21.7511,,-33.73966842,,
1160,,,,,,,,,,,,,-52.6128,,,,,-21.6602,,-33.87060714,,
1159,,,,,,,,,,,,,-53.7,,,,,-22.5488,,-34.21286579,,
1158,,,,,,,,,,,,,-54.7267,,,,,-21.7934,,-34.12875953,,
1157,,,,,,,,,,,,,-54.859,,,,,-23.2319,,-34.29160527,,
1156,,,,,,,,,,,,,-54.8113,,,,,-22.3316,,-33.86295953,,
1155,,,,,,,,,,,,,-54.4032,,,,,-22.2601,,-33.24872369,,
1154,,,,,,,,,,,,,-53.9496,,,,,-21.5274,,-32.69675953,,
1153,,,,,,,,,,,,,-53.6285,,,,,-21.11,,-32.49962632,,
1152,,,,,,,,,,,,,-53.8834,,,,,-22.82,,-33.53220238,,
1151,,,,,,,,,,,,,-53.45,,,,,-22.1969,,-35.0660079,,
1150,,,,,,,,,,,,,-52.2938,,,,,-22.0156,,-35.25289048,,
1149,,,,,,,,,,,,,-50.9887,,,,,-21.9315,,-34.94569211,,
1148,,,,,,,,,,,,,-50.376,,,,,-22.4134,,-34.51375238,,
1147,,,,,,,,,,,,,-50.4971,,,,,-22.38,,-33.65548948,,
1146,,,,,,,,,,,,,-50.8408,,,,,-22.5393,,-34.25569048,,
1145,,,,,,,,,,,,,-51.2509,,,,,-21.8969,,-34.52842369,,
1144,,,,,,,,,,,,,-51.8525,,,,,-21.4924,,-34.19866429,,
1143,,,,,,,,,,,,,-52.3614,,,,,-20.8051,,-34.95280526,,
1142,,,,,,,,,,,,,-53.0167,,,,,-22.1427,,-34.48443334,,
1141,,,,,,,,,,,,,-53.0721,,,,,-21.8422,,-32.85009474,,
1140,,,,,,,,,,,,,-52.9035,,,,,-21.7185,,-33.70240953,,
1139,,,,,,,,,,,,,-52.2616,,,,,-21.4642,,-32.94654737,,
