year,"JRI (Aristarain et al., 2004)",Ferrigno,ITASE-01-3,WD05A 112.125W,ITASE-00-5
1909,-141.378,-231.0547,-253.61,-270.0168421,-273.44295
1908,-147.6567,-197.9269,-253.277,-272.54,-264.19615
1907,-152.618,-199.9608,-258.316,-263.5694737,-271.0578
1906,-156.485,-204.7034,-278.355,-263.0319048,-255.6152
1905,-154.611,-199.2762,-277.763,-269.3389474,-255.48505
1904,-142.052,-181.1369,-255.016,-267.442381,-270.93095
1903,-154.3192,-187.1746,-259.989,-282.7436842,-266.0659
1902,-138.866,-210.7582,-253.194,-259.332381,-253.76905
1901,-162.444,-198.6799,-252.701,-267.4157895,-260.2601
1900,-154.4663,-210.9149,-249.29,-264.502381,-256.0438
1899,-164.7038,-201.5157,,-256.7447368,-239.5907
1898,-145.2312,-204.4086,,-266.0671429,-245.0844
1897,-141.25,-212.7992,,-268.7447368,-250.4428
1896,-155.73,-198.1428,,-282.7928571,-258.9405
1895,-150.76,-206.74,,-274.7252632,-262.2849
1894,-148.1887,-212.5177,,-270.9638095,-270.5049
1893,-134.618,-193.0562,,-276.0231579,-272.5522
1892,-144.452,-195.8354,,-279.5980952,-270.2446
1891,-136.794,-192.3017,,-264.7336842,-272.8582
1890,-135.213,-196.1329,,-276.082381,-256.9184
1889,-138.52,-205.7306,,-264.7957895,-257.8881
1888,-140.711,-201.21,,-272.8228571,-260.9798
1887,-144.842,-207.3636,,-270.8442105,-257.9168
1886,-147.145,-178.8472,,-261.29,-269.1766
1885,-145.06,-211.5948,,-252.2310526,-261.0066
1884,-148.595,-203.5902,,-242.4071429,-253.3265
1883,-153.254,-210.8409,,-259.7221053,-247.7705
1882,-154.345,-214.7357,,-273.0752381,-255.6225
1881,-160.0575,-196.914,,-268.8815789,-257.7554
1880,-141.112,-193.4296,,-270.9133333,-266.1551
1879,-151.56,-214.3834,,-262.3494737,-273.1241
1878,-158.19,-186.4452,,-248.2114286,-265.3039
1877,-157.2475,-191.5188,,-254.1278947,-239.6787
1876,-145.28,-199.1951,,-273.2442857,-254.9871
1875,-144.608,-194.1404,,-269.3915789,-270.4002
1874,-143.008,-182.4992,,-262.5771429,-274.3744
1873,-164.512,-207.6588,,-266.7910526,-260.8566
1872,-137.828,-209.9101,,-265.7980952,-260.4002
1871,-158.51,-190.3636,,-268.7973684,-267.5048
1870,-145.226,-212.9947,,-281.8990476,-273.7073
1869,-139.1617,-211.8398,,-268.5326316,-270.1465
1868,-147.616,-200.821,,-262.8980952,-261.5597
1867,-162.092,-195.497,,-261.8057895,-259.3769
1866,-156.045,-194.6217,,-268.0290476,-263.4577
1865,-157.625,-195.1639,,-270.3842105,-262.9228
1864,-154.2085,-210.4008,,-260.5342857,-261.6684
1863,-150.792,-210.0702,,-271.3710526,-264.19
1862,-145.76,-194.9463,,-267.0580952,-276.9823
1861,-136.5617,-213.5121,,-256.6131579,-269.976
1860,-146.806,-205.0951,,-277.7514286,-255.4683
1859,-146.286,-216.2821,,-274.7752632,-255.6698
1858,-154.936,-207.5274,,-271.7738095,-264.5356
1857,-143.16,-207.3763,,-265.6978947,-261.0141
1856,-145.732,-209.6375,,-270.9742857,-253.8765
1855,-133.122,-205.0221,,-265.3026316,-252.4273
1854,-145.0325,-196.5954,,-256.9404762,-260.2489
1853,-155.5875,-211.2662,,-263.0810526,-272.6145
1852,-149.23,-196.7149,,-269.8457143,-270.0056
1851,-144.86,-222.0966,,-278.9194737,-264.1055
1850,-151.4125,-203.3233,,-274.5961905,-257.7666
1849,-150.2167,-213.0861,,-281.2231579,-265.0647
1848,-153.642,-205.4377,,-265.1747619,-257.6018
1847,-149.0225,-212.5521,,-277.08,-264.6136
1846,-155.218,-220.5046,,-285.8947619,-263.28
1845,-161.356,-220.0371,,-271.1747368,-266.0399
1844,-166.4525,-214.1726,,-271.9142857,-263.8496
1843,-145.4588,-216.397,,-274.0273684,-267.3411
1842,-161.63,-214.4734,,-276.1133333,-264.9437
1841,-132.2025,-210.575,,-275.2826316,-254.4555
1840,-148.2467,-228.6769,,-262.6252381,-274.8725
1839,-152.794,-216.665,,-246.6815789,-270.4395
1838,-149.4112,-192.1243,,-268.4333333,-254.3171
1837,-136.7,-196.7704,,-271.2536842,-249.0882
1836,-139.8638,-213.2477,,-274.3761905,-263.4192
1835,-144.0188,-210.9936,,-266.4968421,-249.3064
1834,-149.88,-199.5957,,-257.4828571,-248.0123
1833,-144.8487,-202.1668,,-252.81,-262.9595
1832,-145.2156,-204.2774,,-253.7842857,-271.1454
1831,-156.118,-202.6879,,-271.0163158,-273.7253
1830,-137.194,-184.664,,-254.1395238,-265.0152
1829,-145.7858,-195.6299,,-259.4905263,-264.8135
1828,-148.7797,-213.5744,,-264.602381,-262.6976
1827,-160.775,-206.6242,,-264.1931579,-262.8673
1826,-152.725,-202.4217,,-265.647619,-251.9212
1825,-148.3925,-203.3939,,-260.9705263,-265.6776
1824,-145.9025,-191.352,,-259.5285714,-264.1161
1823,-155.41,-191.8761,,-263.1,-257.7938
1822,-145.1,-193.1368,,-274.9319048,-272.2711
1821,-148.43,-200.7732,,-276.0315789,-276.7296
1820,-134.2175,-217.1493,,-272.9504762,-259.028
1819,-138.74,-190.8157,,-266.1794737,-250.3045
1818,-138.278,-205.9487,,-265.6561905,-252.2481
1817,-148.5125,-197.4913,,-285.4684211,-260.6611
1816,-158.2025,-201.9016,,-280.2038095,-263.8228
1815,-156.41,-212.8727,,-279.5368421,-263.7674
1814,-139.608,-212.5829,,-267.2890476,-267.9473
1813,-147.9425,-208.4276,,-262.3042105,-265.7634
1812,-143.838,-213.9962,,-274.5242857,-262.4075
1811,-148.39,-187.0593,,-270.4489474,-263.419
1810,-153.6925,-186.6054,,-278.9304762,-275.7482
1809,-148.7875,-202.8431,,-283.8573684,-278.7232
1808,-145.34,-209.2038,,-273.7314286,-281.2766
1807,-144.985,-211.1306,,-276.0494737,-282.9018
1806,-149.5767,-203.3866,,-273.4833333,-271.1441
1805,-151.5133,-189.7531,,-257.5442105,-262.8801
1804,-163.6175,-215.5116,,-255.8561905,-255.6074
1803,-146.94,-208.8142,,-248.6621053,-255.3728
1802,-144.2413,-204.7938,,-261.7304762,-260.2317
1801,-151.2075,-209.975,,-264.6473684,-261.966
1800,-142.9167,-203.3923,,-272.6,-269.5205
1799,-153.3625,-213.1,,-269.78,
1798,-147.2467,-212.6126,,-247.7009524,
1797,-156.7125,-213.3567,,-268.9957895,
1796,-164.1233,-206.8011,,-281.4747619,
1795,-136.535,-221.0556,,-275.2973684,
1794,-146.0183,-205.1013,,-259.9671429,
1793,-142.51,-196.7933,,-265.3578947,
1792,-141.1033,-202.869,,-268.6938095,
1791,-165.225,-206.3295,,-264.5873684,
1790,-148.3887,-207.635,,-264.8733333,
1789,-149.6833,-196.999,,-261.7568421,
1788,-143.825,-196.4125,,-267.0580952,
1787,-147.205,-186.022,,-270.6073684,
1786,-153.5958,-184.2034,,-254.2733333,
1785,-143.3167,-195.745,,-262.2457895,
1784,-151.1681,-192.0333,,-269.6980952,
1783,-145.2617,-190.7676,,-258.0663158,
1782,-150.5492,-189.1801,,-277.36,
1781,-158.1572,-199.6075,,-273.7178947,
1780,-142.8,-212.6959,,-274.4142857,
1779,-146.1287,-183.8302,,-265.6726316,
1778,-145.8325,-212.0154,,-263.172381,
1777,-152.6742,-206.0635,,-252.5489474,
1776,-151.6417,-195.0734,,-273.0857143,
1775,-147.7267,-202.7167,,-259.0589474,
1774,-149.4678,-188.8979,,-274.9038095,
1773,-142.1164,-186.6206,,-271.7242105,
1772,-132.9717,-210.7257,,-267.8780952,
1771,-144.8656,-178.5203,,-260.3594737,
1770,-142.8722,-185.9191,,-264.0819048,
1769,-149.1256,-216.9186,,-267.4794737,
1768,-145.815,-190.8913,,-267.3380952,
1767,-155.6556,-187.2531,,-267.4257895,
1766,-141.0711,-200.5673,,-257.8957143,
1765,-130.1361,-189.2512,,-259.5689474,
1764,-147.8244,-208.9089,,-275.7,
1763,-129.0156,-205.467,,-273.8952632,
1762,-139.01,-198.6483,,-277.9909524,
1761,-142.6922,-196.6274,,-259.3826316,
1760,-153.14,-222.1005,,-273.9504762,
1759,-179.5467,-197.2705,,-271.5915789,
1758,-152.7175,-203.7015,,-279.7166667,
1757,-145.8433,-208.9217,,-272.5094737,
1756,-147.7133,-199.0985,,-272.0157143,
1755,-154.3244,-203.3096,,-261.4221053,
1754,-129.9778,-206.3871,,-262.3638095,
1753,-123.6422,-227.6032,,-277.4126316,
1752,-157.2289,-193.1839,,-276.947619,
1751,-161.565,-198.7152,,-260.1847368,
1750,-148.2933,-217.9117,,-266.3890476,
1749,-151.4944,-208.0956,,-274.0810526,
1748,-140.6811,-218.4126,,-263.2828571,
1747,-146.9711,-220.5054,,-272.9763158,
1746,-160.7867,-206.4532,,-275.8966667,
1745,-139.6822,-206.1166,,-276.2010526,
1744,-146.95,-218.1781,,-264.8880952,
1743,-141.4467,-203.8933,,-281.5131579,
1742,-152.5117,-212.8723,,-279.5909524,
1741,-152.6044,-202.6307,,-285.2747368,
1740,-149.3206,-199.1823,,-265.2880952,
1739,-157.535,-196.1452,,-268.2168421,
1738,-139.4775,-218.9774,,-265.0095238,
1737,-147.1383,-213.4049,,-262.4773684,
1736,-151.8467,-200.7822,,-262.1742857,
1735,-144.6417,-190.2753,,-260.8421053,
1734,-151.41,-199.41,,-258.4666667,
1733,-150.5333,-200.5041,,-260.91,
1732,-155.4067,-197.5725,,-271.8133333,
1731,-145.7244,-211.5814,,-266.8236842,
1730,-149.46,-207.6971,,-262.9671429,
1729,-166.3133,-190.0773,,-266.9131579,
1728,-155.5317,-204.7726,,-265.9814286,
