year,"JRI (Aristarain et al., 2004)",Ferrigno,ITASE-01-3,WD05A 112.125W,ITASE-00-5
1415,-152.37,,,-283.6573684,
1414,-164.51,,,-273.2947619,
1413,-151.31,,,-265.1036842,
1412,-161.325,,,-257.507619,
1411,-166.3,,,-261.8021053,
1410,-170.655,,,-257.05,
1409,-165.24,,,-275.26,
1408,-139.27,,,-244.5952381,
1407,-151.08,,,-247.0194737,
1406,-140.83,,,-244.7271429,
1405,-137.21,,,-259.8736842,
1404,-146.69,,,-251.71,
1403,-149.59,,,-261.3063158,
1402,-147.95,,,-261.7028571,
1401,-155.11,,,-271.3826316,
1400,-145.47,,,-278.2338095,
1399,-149.315,,,-286.7989474,
1398,-140.91,,,-282.3142857,
1397,-151,,,-255.8552632,
1396,-162.905,,,-269.6733333,
1395,-150.6,,,-270.6115789,
1394,-150.625,,,-269.3933333,
1393,-153.4,,,-254.8873684,
1392,-165.13,,,-262.5133333,
1391,-146.08,,,-270.2068421,
1390,-148.21,,,-285.3419048,
1389,-148.13,,,-277.2568421,
1388,-164.02,,,-272.5642857,
1387,-160.93,,,-248.6363158,
1386,-146.57,,,-262.5238095,
1385,-150.2,,,-271.1868421,
1384,-164.99,,,-265.5666667,
1383,-149.55,,,-269.9673684,
1382,-165.805,,,-271.2009524,
1381,-171.96,,,-269.1157895,
1380,-155.09,,,-284.1633333,
1379,-157.375,,,-275.0452632,
1378,-148.07,,,-268.4304762,
1377,-157.13,,,-278.8410526,
1376,-154.04,,,-277.3452381,
1375,-152.19,,,-269.7484211,
1374,-158.34,,,-262.6557143,
1373,-151.33,,,-256.8447368,
1372,-167.39,,,-262.5771429,
1371,-153.705,,,-282.9736842,
1370,-165.94,,,-260.9714286,
1369,-161.36,,,-269.5363158,
1368,-158.48,,,-281.6871429,
1367,-156.38,,,-270.8857895,
1366,-138.45,,,-263.5704762,
1365,-140,,,-252.6915789,
1364,-145.08,,,-262.4938095,
1363,-171.63,,,-275.0521053,
1362,-156.585,,,-263.562381,
1361,-155.89,,,-263.2947368,
1360,-158.3,,,-287.4604762,
1359,-147.975,,,-261.0547368,
1358,-146.58,,,-262.1585714,
1357,-149.94,,,-275.1747368,
1356,-150.045,,,-272.6161905,
1355,-154.88,,,-275.4731579,
1354,-158.44,,,-271.2228571,
1353,-146.19,,,-262.0842105,
1352,-170.18,,,-262.7533333,
1351,-144.71,,,-267.0273684,
1350,-152.31,,,-269.8404762,
1349,-139.3,,,-264.4568421,
1348,-151.96,,,-280.8838095,
1347,-157.455,,,-277.4831579,
1346,-142.88,,,-280.49,
1345,-142.69,,,-278.7484211,
1344,-140.415,,,-267.5019048,
1343,-143.88,,,-269.9973684,
1342,-150.68,,,-268.9366667,
1341,-156.155,,,-265.2373684,
1340,-154.65,,,-261.8890476,
1339,-144.5,,,-264.0863158,
1338,-159.795,,,-273.7747619,
1337,-153.53,,,-266.1757895,
1336,-146.11,,,-266.3995238,
1335,-138.565,,,-274.2105263,
1334,-143.18,,,-258.4442857,
1333,-144.05,,,-264.7310526,
1332,-153.805,,,-267.2585714,
1331,-161.35,,,-258.1005263,
1330,-165.53,,,-264.0204762,
1329,-173.71,,,-277.2573684,
1328,-151.295,,,-281.0071429,
1327,-155.91,,,-260.5063158,
1326,-147.54,,,-256.54,
1325,-159.295,,,-267.2115789,
1324,-136.04,,,-265.627619,
1323,-149.87,,,-274.7326316,
1322,-153.19,,,-275.3833333,
1321,-125.12,,,-264.6942105,
1320,-146.16,,,-267.182381,
1319,-155.305,,,-260.7142105,
1318,-155.07,,,-269.1071429,
1317,-128.48,,,-271.1857895,
1316,-131.09,,,-266.3419048,
1315,-151.93,,,-263.3289474,
1314,-151.81,,,-261.367619,
1313,-146.44,,,-270.0126316,
1312,-157.87,,,-259.0319048,
1311,-141.04,,,-263.41,
1310,-171.56,,,-260.3038095,
1309,-160.645,,,-261.2568421,
1308,-156.35,,,-256.8366667,
1307,-142.425,,,-248.9263158,
1306,-150.96,,,-271.2952381,
1305,-149.49,,,-278.6336842,
1304,-165.24,,,-269.5714286,
1303,-151.56,,,-262.0105263,
1302,-155.81,,,-264.4909524,
1301,-148.75,,,-269.2626316,
1300,-162.675,,,-274.4947619,
1299,-159.52,,,-269.1568421,
1298,-144.17,,,-266.5180952,
1297,-147.985,,,-260.9878947,
1296,-166.92,,,-270.6590476,
1295,-132.45,,,-265.5321053,
1294,-138.92,,,-291.0633333,
1293,-138.835,,,-290.66,
1292,-139.24,,,-271.7171429,
1291,-159.75,,,-272.4126316,
1290,-156.78,,,-261.3957143,
1289,-147.46,,,-261.9384211,
1288,-155.69,,,-273.4290476,
1287,-158.92,,,-266.7257895,
1286,-156.07,,,-262.152381,
1285,-155.55,,,-265.67,
1284,-152.03,,,-272.08,
1283,-161.66,,,-257.5442105,
1282,-170.18,,,-266.382381,
1281,-153.16,,,-267.5894737,
1280,-154.29,,,-269.0828571,
1279,-142.37,,,-273.9710526,
1278,-130.31,,,-273.2690476,
1277,-155.46,,,-280.2263158,
1276,-147.42,,,-269.7004762,
1275,-138.64,,,-268.8126316,
1274,-137.23,,,-274.9490476,
1273,-147.74,,,-256.1521053,
1272,-158.68,,,-270.0371429,
1271,-155.64,,,-267.8715789,
1270,-153.48,,,-267.5961905,
1269,-153.03,,,-265.8710526,
1268,-145.91,,,-281.1642857,
1267,-150.7,,,-279.9063158,
1266,-151.82,,,-283.047619,
1265,-161.77,,,-284.5447368,
1264,-140.92,,,-259.6695238,
1263,-163.02,,,-258.0036842,
1262,-148.83,,,-261.1533333,
1261,-154.52,,,-266.7394737,
1260,-149.69,,,-278.3447619,
1259,-154.92,,,-266.5694737,
1258,-162.6,,,-270.492381,
1257,-150.2,,,-272.7094737,
1256,-147.4,,,-258.652381,
1255,-143.5,,,-272.22,
1254,-142.3,,,-269.8614286,
1253,-144.6,,,-275.3863158,
1252,-135.8,,,-250.297619,
1251,-137.1,,,-272.1215789,
1250,-152.9,,,-267.4942857,
1249,-147.2,,,-257.8036842,
1248,-160.6,,,-259.157619,
1247,-163.6,,,-268.7415789,
1246,-155.3,,,-259.8595238,
1245,-147.6,,,-270.1963158,
1244,-151.5,,,-262.6509524,
1243,-154,,,-265.3336842,
1242,-142.8,,,-262.2242857,
1241,-147.1,,,-269.2689474,
1240,-148.7,,,-260.0271429,
1239,-152.9,,,-271.1842105,
1238,-146.9,,,-269.7052381,
1237,-157.5,,,-260.3489474,
1236,-153,,,-264.6890476,
1235,-162.2,,,-261.1336842,
1234,-148.8,,,-265.5952381,
1233,-162.3,,,-264.5252632,
1232,-142.6,,,-269.422381,
1231,-156.8,,,-268.8752632,
1230,-153.2,,,-268.4614286,
1229,-147.5,,,-267.9063158,
1228,-155.8,,,-268.8471429,
1227,-167,,,-277.9447368,
1226,-153.3,,,-268.8228571,
1225,-155.1,,,-276.1231579,
1224,-147.8,,,-265.6157143,
1223,-141.9,,,-272.4821053,
1222,-153.5,,,-274.5366667,
1221,-147.5,,,-270.7110526,
1220,-153.3,,,-260.1,
1219,-164.9,,,-263.4226316,
1218,-163.6,,,-270.7352381,
1217,-151,,,-269.5331579,
1216,-152.9,,,-273.4652381,
1215,-144.9,,,-268.9794737,
1214,-149.1,,,-269.3452381,
1213,-154.9,,,-252.9278947,
1212,-147,,,-257.3271429,
1211,-144.5,,,-263.3642105,
1210,-156.9,,,-259.6066667,
1209,-155.2,,,-254.3663158,
1208,-147.3,,,-267.907619,
1207,-144.9,,,-269.7042105,
1206,-166.1,,,-267.4557143,
1205,-153.6,,,-256.2294737,
1204,-149,,,-263.2942857,
1203,-153.9,,,-275.8668421,
1202,-169.3,,,-253.2180952,
1201,-160.1,,,-264.3305263,
1200,-142.9,,,-272.1371429,
1199,-149.6,,,-266.2915789,
1198,-154.4,,,-260.3471429,
1197,-148.6,,,-248.81,
1196,-162.3,,,-251.8304762,
1195,-154.1,,,-262.9131579,
1194,-154.9,,,-255.8790476,
1193,-153.8,,,-268.9531579,
1192,-157.4,,,-272.6442857,
1191,-161.5,,,-270.0526316,
1190,-168.7,,,-253.4952381,
1189,-153.6,,,-267.5057895,
1188,-152.8,,,-262.2685714,
1187,-152.5,,,-254.5631579,
1186,-151.6,,,-257.8628571,
1185,-144,,,-268.2178947,
1184,-149.1,,,-262.8138095,
1183,-157.4,,,-287.5473684,
1182,-165.4,,,-262.737619,
1181,-157.1,,,-266.1736842,
1180,-153.5,,,-265.4414286,
1179,-156.6,,,-268.9131579,
1178,-149.1,,,-264.9609524,
1177,-149.3,,,-260.6284211,
1176,-156.1,,,-271.3733333,
1175,-157.9,,,-273.5126316,
1174,-145.5,,,-269.4452381,
1173,-151.4,,,-269.7594737,
1172,-151.3,,,-278.397619,
1171,-150.4,,,-266.0794737,
1170,-146.7,,,-265.8390476,
1169,-157.6,,,-269.7110526,
1168,-154,,,-268.1590476,
1167,-146.1,,,-284.7984211,
1166,-152.1,,,-281.0309524,
1165,-148.9,,,-271.5942105,
1164,-155.2,,,-273.4014286,
1163,-147.6,,,-266.7121053,
1162,-150.9,,,-266.152381,
1161,-156.8,,,-266.5805263,
1160,-153,,,-262.1628571,
1159,-160.8,,,-264.5473684,
1158,-162.2,,,-269.6009524,
1157,-147.1,,,-271.9321053,
1156,-163.3,,,-261.3295238,
1155,-154.4,,,-256.4173684,
1154,-159.9,,,-254.3747619,
1153,-153.6,,,-248.3957895,
1152,-147,,,-257.857619,
1151,-148.8,,,-284.7842105,
1150,-168.5,,,-292.7780952,
1149,-154.2,,,-285.8736842,
1148,-150.3,,,-279.7319048,
1147,-140.4,,,-271.6921053,
1146,-166.9,,,-263.32,
1145,-148.7,,,-264.0484211,
1144,-151.7,,,-270.3980952,
1143,-152.5,,,-272.5705263,
1142,-147.8,,,-272.4647619,
1141,-147.5,,,-260.9978947,
1140,-133.7,,,-278.7552381,
1139,-147.5,,,-264.5515789,
1138,-143.1,,,-265.672381,
1137,-151.9,,,-258.2894737,
1136,-148.8,,,-276.4257143,
1135,-160,,,-290.4363158,
1134,-155.3,,,-270.2685714,
1133,-159.2,,,-272.5063158,
1132,-161,,,-266.9342857,
1131,-153.1,,,-252.8178947,
1130,-135.2,,,-263.5461905,
1129,-154.4,,,-266.0815789,
1128,-142.6,,,-269.4833333,
1127,-144.9,,,-269.7157895,
1126,-151.2,,,-271.2652381,
1125,-156.8,,,-270.0031579,
1124,-155.3,,,-268.2852381,
1123,-145.8,,,-267.2673684,
1122,-148.7,,,-263.2671429,
1121,-145.1,,,-269.2431579,
1120,-143.7,,,-276.0880952,
1119,-149.9,,,-270.1178947,
1118,-145.5,,,-253.3238095,
1117,-151.6,,,-267.0110526,
1116,-155.1,,,-268.5252381,
1115,-128.6,,,-275.1884211,
1114,-151.4,,,-272.07,
1113,-164.1,,,-258.6389474,
1112,-170.1,,,-267.5085714,
1111,-146.3,,,-266.8605263,
1110,-156.6,,,-268.2133333,
1109,-166.9,,,-266.27,
1108,-146.8,,,-269.8042857,
1107,-155.7,,,-267.7468421,
1106,-161.7,,,-263.5561905,
1105,-165.7,,,-262.5221053,
1104,-138.9,,,-273.5361905,
1103,-159.4,,,-254.6963158,
1102,-136.5,,,-267.1352381,
1101,-132.9,,,-256.1021053,
1100,-147.4,,,-263.4142857,
1099,-145.5,,,-266.3421053,
1098,-157,,,-252.05,
1097,-150.6,,,-265.8557895,
1096,-151,,,-272.4842857,
1095,-158.05,,,-289.8963158,
1094,-165.1,,,-276.8119048,
1093,-154.2,,,-275.7121053,
1092,-147.2,,,-280.9242857,
1091,-139.9,,,-272.0721053,
1090,-145.8,,,-275.6357143,
1089,-146.8,,,-258.6678947,
1088,-150.4,,,-262.3395238,
1087,-154.9,,,-260.2921053,
1086,-160,,,-265.1314286,
1085,-165.1,,,-260.0863158,
1084,-147.3,,,-264.5190476,
1083,-152.7,,,-260.1557895,
1082,-140.7,,,-261.8628571,
1081,-143.1,,,-268.5468421,
1080,-142,,,-259.1361905,
1079,-138.6,,,-292.3363158,
1078,-135.2,,,-270.4228571,
1077,-138.3,,,-255.3447368,
1076,-144,,,-256.2585714,
1075,-157.6,,,-262.3273684,
1074,-158.1,,,-262.9261905,
1073,-158.6,,,-260.4063158,
1072,-162.9,,,-268.9138095,
1071,-157.7,,,-277.0768421,
1070,-164.8,,,-269.62,
1069,-159.25,,,-254.8368421,
1068,-153.7,,,-259.5833333,
1067,-163.5,,,-255.3989474,
1066,-142.5,,,-271.6704762,
1065,-146.3,,,-275.1494737,
1064,-150.1,,,-259.2652381,
1063,-158.6,,,-261.9310526,
1062,-165.5,,,-264.3614286,
1061,-163.9,,,-243.5231579,
1060,-162.3,,,-269.2238095,
1059,-157.9,,,-274.1142105,
1058,-152.7,,,-271.5942857,
1057,-147.8,,,-279.0157895,
1056,-142.9,,,-269.2238095,
1055,-146.5,,,-265.1294737,
1054,-153.1,,,-259.4857143,
1053,-155.45,,,-260.1836842,
1052,-157.8,,,-259.5257143,
1051,-163.4,,,-265.2473684,
1050,-156.95,,,-259.6861905,
1049,-150.5,,,-278.8805263,
1048,-142.5,,,-266.5304762,
1047,-144.2,,,-278.0073684,
1046,-147.7,,,-275.4304762,
1045,-151.2,,,-269.1405263,
1044,-155.9,,,-268.2285714,
1043,-148.8,,,-266.3352632,
1042,-153.4,,,-258.4666667,
1041,-158,,,-252.9942105,
1040,-153.6,,,-252.6557143,
1039,-148.1,,,-258.9773684,
1038,-142.6,,,-258.5095238,
1037,-166.8,,,-245.0621053,
1036,-159.1,,,-258.6257143,
1035,-151.4,,,-255.7536842,
1034,-157.7,,,-264.3485714,
1033,-163.7,,,-265.3052632,
1032,-159.15,,,-260.8019048,
1031,-154.6,,,-263.2131579,
1030,-142.6,,,-273.6961905,
1029,-149.45,,,-277.6594737,
1028,-156.3,,,-260.5052381,
1027,-147.7,,,-268.4421053,
1026,-151.5,,,-280.6395238,
1025,-155.3,,,-264.58,
1024,-157.1,,,-273.6971429,
1023,-159.25,,,-260.7947368,
1022,-161.4,,,-270.337619,
1021,-149.7,,,-278.2815789,
1020,-145.85,,,-272.0814286,
1019,-142,,,-259.4294737,
1018,-152.8,,,-264.0666667,
1017,-158,,,-267.3789474,
1016,-147.55,,,-262.3014286,
1015,-137.1,,,-257.3142105,
1014,-147.6,,,-242.5595238,
1013,-143.1,,,-274.9036842,
1012,-138.6,,,-270.4938095,
1011,-140.4,,,-273.1557895,
1010,-145.4,,,-270.877619,
1009,-150.4,,,-262.4515789,
1008,-150.3,,,-279.1933333,
1007,-150.2,,,-277.1642105,
1006,-150.4,,,-259.4938095,
1005,-151.75,,,-262.2563158,
1004,-153.1,,,-263.4380952,
1003,-148.6,,,-252.4457895,
1002,-143.6,,,-269.097619,
1001,-138.6,,,-274.0610526,
1000,-151.6,,,-263.4404762,
999,-150.4,,,-254.1026316,
998,-149.2,,,-263.3209524,
997,-140.6,,,-271.7689474,
996,-151.9,,,-260.3090476,
995,-163.2,,,-264.57,
994,-163.2,,,-272.3085714,
993,-159.1,,,-268.6710526,
992,-155,,,-269.167619,
991,-151.1,,,-271.7131579,
990,-147.2,,,-272.8442857,
989,-141.5,,,-269.8657895,
988,-144.05,,,-248.5166667,
987,-146.6,,,-264.5010526,
986,-138.9,,,-268.9419048,
985,-143,,,-270.0373684,
984,-147.1,,,-272.5852381,
983,-152.6,,,-272.6510526,
982,-158.1,,,-277.8157143,
981,-144.3,,,-263.0957895,
980,-144.85,,,-257.2795238,
979,-145.4,,,-255.6705263,
978,-144.8,,,-270.9352381,
977,-149.2,,,-255.8742105,
976,-153.6,,,-261.1138095,
975,-156.6,,,-249.5536842,
974,-159.6,,,-275.4747619,
973,-147.7,,,-261.6642105,
972,-149.15,,,-266.9152381,
971,-150.6,,,-270.4852632,
970,-161.1,,,-251.0047619,
969,-153.45,,,-257.6431579,
968,-145.8,,,-263.0219048,
967,-145.4,,,-258.5631579,
966,-145,,,-246.8314286,
965,-158.2,,,-255.4757895,
964,-157.75,,,-254.5961905,
963,-157.3,,,-257.5531579,
962,-159,,,-284.3514286,
961,-160.7,,,-280.3952632,
960,-158.2,,,-263.2109524,
959,-160.4,,,-270.4505263,
958,-162.6,,,-270.32,
957,-155.05,,,-286.4721053,
956,-147.5,,,-276.9880952,
955,-155.1,,,-255.7321053,
954,-156.05,,,-269.4080952,
953,-157,,,-254.4631579,
952,-154.6,,,-265.0895238,
951,-152.2,,,-270.3352632,
950,-155.8,,,-257.1314286,
949,-159.4,,,-248.1710526,
948,-153.5,,,-274.5285714,
947,-151.05,,,-267.2057895,
946,-148.6,,,-257.642381,
945,-155.75,,,-268.5473684,
944,-162.9,,,-252.7404762,
943,-162.6,,,-247.2489474,
942,-155.1,,,-271.3647619,
941,-147.6,,,-272.6963158,
940,-146.2,,,-267.6090476,
939,-144.8,,,-272.3963158,
938,-145.55,,,-263.0733333,
937,-146.3,,,-266.6452632,
936,-149.4,,,-262.9257143,
935,-146.7,,,-267.4942105,
934,-144,,,-270.96,
933,-147.15,,,-257.6778947,
932,-150.3,,,-283.26,
931,-142.95,,,-262.5936842,
930,-135.6,,,-254.0480952,
929,-159.7,,,-266.7531579,
928,-154.1,,,-260.5585714,
927,-148.5,,,-259.3252632,
926,-149.4,,,-264.4761905,
925,-150.3,,,-284.4194737,
924,-148.15,,,-255.6657143,
923,-146,,,-260.4063158,
922,-147.7,,,-262.2528571,
921,-150.55,,,-263.0747368,
920,-153.4,,,-269.2685714,
919,-159,,,-256.0515789,
918,-164.6,,,-254.5838095,
917,-153.65,,,-272.9847368,
916,-142.7,,,-275.1928571,
915,-143.4,,,-267.9384211,
914,-144.1,,,-250.5690476,
913,-155.8,,,-249.7410526,
912,-160.85,,,-257.7966667,
911,-165.9,,,-272.2315789,
910,-161.6,,,-262.5009524,
909,-157.3,,,-266.5952632,
908,-155.6,,,-260.1380952,
907,-153.9,,,-275.6342105,
906,-152,,,-270.3471429,
905,-150.1,,,-265.2494737,
904,-144.15,,,-266.1180952,
903,-138.2,,,-269.2231579,
902,-154.5,,,-276.7761905,
901,-153.35,,,-275.38,
900,-152.2,,,-274.707619,
899,-147.95,,,-275.9684211,
898,-143.7,,,-276.3614286,
897,-148.35,,,-265.2205263,
896,-153,,,-271.0047619,
895,-153.85,,,-277.1826316,
894,-154.7,,,-265.9695238,
893,-151.85,,,-261.1,
892,-149,,,-253.7571429,
891,-154.1,,,-247.6573684,
890,-159.2,,,-262.8128571,
889,-156.1,,,-264.2173684,
888,-153,,,-266.63,
887,-142.4,,,-259.88,
886,-148.75,,,-253.1519048,
885,-155.1,,,-268.6289474,
884,-156.8,,,-259.8547619,
883,-158.5,,,-250.51,
882,-152.5,,,-254.9947619,
881,-146.5,,,-260.2805263,
880,-153.45,,,-263.5509524,
879,-160.4,,,-264.8310526,
878,-155.3,,,-257.6628571,
877,-150.2,,,-258.1721053,
876,-153.6,,,-261.8795238,
875,-157,,,-263.8484211,
874,-155.45,,,-259.9952381,
873,-153.9,,,-266.9436842,
872,-149.55,,,-274.8590476,
871,-145.2,,,-253.9442105,
870,-143,,,-266.0747619,
869,-140.8,,,-247.1731579,
868,-147.4,,,-281.1614286,
867,-154,,,-276.7752632,
866,-149,,,-262.0014286,
865,-149.45,,,-268.7252632,
864,-149.9,,,-265.427619,
863,-148.65,,,-273.9121053,
862,-147.4,,,-260.4909524,
861,-152.45,,,-268.3557895,
860,-157.5,,,-252.2952381,
859,-156.55,,,-256.9973684,
858,-155.6,,,-265.1409524,
857,-148.75,,,-275.6284211,
856,-141.9,,,-260.8928571,
855,-144.75,,,-267.5168421,
854,-147.6,,,-267.9742857,
853,-152.85,,,-258.2852632,
852,-158.1,,,-269.3666667,
851,-154.45,,,-279.0721053,
850,-150.8,,,-272.1985714,
849,-158.7,,,-256.7715789,
848,-166.6,,,-263.6961905,
847,-155.3,,,-266.2778947,
846,-144,,,-266.0028571,
845,-143.8,,,-262.0536842,
844,-143.6,,,-253.1609524,
843,-147.25,,,-273.0521053,
842,-150.9,,,-284.0390476,
841,-151.3,,,-276.9868421,
840,-151.7,,,-259.6028571,
839,-148.85,,,-260.1647368,
838,-146,,,-258.5390476,
837,-150.65,,,-250.8473684,
836,-155.3,,,-259.4019048,
835,-152.65,,,-245.6389474,
834,-150,,,-256.0709524,
833,-145.55,,,-257.9836842,
832,-141.1,,,-250.7580952,
831,-144.45,,,-262.4384211,
830,-147.8,,,-251.3514286,
829,-148.55,,,-263.9094737,
828,-149.3,,,-267.6657143,
827,-145.1,,,-262.2715789,
826,-140.9,,,-277.4104762,
825,-143.2667,,,-279.4289474,
824,-145.6333,,,-268.0928571,
823,-148,,,-259.5773684,
822,-145.85,,,-261.8714286,
821,-143.7,,,-262.5347368,
820,-146.1,,,-245.3195238,
819,-148.5,,,-245.3178947,
818,-148.1,,,-263.6285714,
817,-147.7,,,-276.6631579,
816,-147.25,,,-269.2695238,
815,-146.8,,,-268.2073684,
814,-149.7,,,-273.497619,
813,-152.6,,,-258.8247368,
812,-149.45,,,-257.837619,
811,-146.3,,,-258.6836842,
810,-147.65,,,-258.6147619,
809,-149,,,-249.8689474,
808,-147.25,,,-258.1557143,
807,-145.5,,,-271.6684211,
806,-148.75,,,-249.4990476,
805,-152,,,-255.4115789,
804,-152.15,,,-268.1542857,
803,-152.3,,,-264.5094737,
802,-153.8667,,,-271.472381,
801,-155.4333,,,-271.0352632,
800,-157,,,-258.3880952,
799,-160.5,,,-248.7363158,
798,-164,,,-269.9338095,
797,-155.7,,,-259.4521053,
796,-147.4,,,-263.4414286,
795,-146.35,,,-248.3205263,
794,-145.3,,,-253.9180952,
793,-145.6,,,-268.2573684,
792,-145.9,,,-255.1333333,
791,-150.1,,,-265.9847368,
790,-154.3,,,-280.4909524,
789,-158.1,,,-266.3278947,
788,-161.9,,,-266.2961905,
787,-158.8667,,,-267.7247368,
786,-155.8333,,,-269.56,
785,-152.8,,,-263.8389474,
784,-148.75,,,-253.212381,
783,-144.7,,,-272.7663158,
782,-149.1,,,-257.2171429,
781,-153.5,,,-263.4268421,
780,-154.65,,,-262.0261905,
779,-155.8,,,-259.6905263,
778,-146.65,,,-262.2990476,
777,-137.5,,,-275.6805263,
776,-145.1,,,-269.09,
775,-152.7,,,-249.78,
774,-150.6333,,,-257.7742857,
773,-148.5667,,,-266.9089474,
772,-146.5,,,-263.2819048,
771,-150.05,,,-249.5821053,
770,-153.6,,,-269.7314286,
769,-153.15,,,-249.7336842,
768,-152.7,,,-264.2961905,
767,-159.3,,,-273.5410526,
766,-165.9,,,-263.9685714,
765,-160.25,,,-245.0821053,
764,-154.6,,,-259.3185714,
763,-152.2333,,,-268.2831579,
762,-149.8667,,,-273.5590476,
761,-147.5,,,-279.2021053,
760,-155.35,,,-283.2766667,
759,-163.2,,,-259.9689474,
758,-155.8,,,-253.8585714,
757,-148.4,,,-261.1305263,
756,-147.65,,,-249.1357143,
755,-146.9,,,-263.2421053,
754,-149.6,,,-281.8404762,
753,-152.3,,,-269.3042105,
752,-155,,,-261.5347619,
751,-154.7,,,-239.0826316,
750,-154.4,,,-257.127619,
749,-151.75,,,-250.3468421,
748,-149.1,,,-254.1347619,
747,-149.7,,,-259.4815789,
746,-150.3,,,-254.66,
745,-154,,,-261.0426316,
744,-157.7,,,-258.9028571,
743,-161.4,,,-266.0868421,
742,-159.2,,,-258.6409524,
741,-157,,,-269.3610526,
740,-154.15,,,-263.9519048,
739,-151.3,,,-266.2289474,
738,-148.1667,,,-263.7280952,
737,-145.0333,,,-275.9447368,
736,-141.9,,,-284.8061905,
735,-144.5,,,-270.7589474,
734,-147.1,,,-253.24,
733,-150.5,,,-260.8321053,
732,-153.9,,,-257.9038095,
731,-152.9333,,,-249.7731579,
730,-151.9667,,,-249.552381,
729,-151,,,-258.3573684,
728,-148.5,,,-259.082381,
727,-146,,,-256.5226316,
726,-147.15,,,-259.0652381,
725,-148.3,,,-258.2152632,
724,-148.9,,,-271.9585714,
723,-149.5,,,-259.2305263,
722,-150.1,,,-257.9319048,
721,-146.75,,,-247.4231579,
720,-143.4,,,-259.102381,
719,-152.25,,,-263.0631579,
718,-161.1,,,-264.2504762,
717,-155.5667,,,-251.7794737,
716,-150.0333,,,-260.4428571,
715,-144.5,,,-266.2184211,
714,-148.5,,,-278.8961905,
713,-152.5,,,-256.3136842,
712,-152.8,,,-273.1128571,
711,-153.1,,,-259.1094737,
710,-153.7333,,,-265.3904762,
709,-154.3667,,,-259.6578947,
708,-155,,,-256.2785714,
707,-156.25,,,-270.0552632,
706,-157.5,,,-273.4980952,
705,-146.6,,,-262.6821053,
704,-146.1,,,-245.9561905,
703,-143.6,,,-260.8142105,
702,-149.3,,,-250.7790476,
701,-152.05,,,-265.6526316,
700,-154.8,,,-276.7990476,
699,-169.2,,,-263.6289474,
698,-161.3,,,-265.6952381,
697,-150.5,,,-266.5978947,
696,-146.3,,,-273.5904762,
695,-134.4,,,-274.4205263,
694,-157.2,,,-276.5238095,
693,-150.6,,,-269.4889474,
692,-146.7,,,-263.372381,
691,-148.5,,,-260.0552632,
690,-153.35,,,-264.4142857,
689,-158.2,,,-263.0752632,
688,-157.9,,,-260.6190476,
687,-150.6,,,-259.7421053,
686,-148.3,,,-265.802381,
685,-146.6,,,-266.1515789,
684,-143.7,,,-251.0509524,
683,-153,,,-260.2663158,
682,-160,,,-259.3033333,
681,-156.4,,,-261.9073684,
680,-152.8,,,-270.2514286,
679,-143.9,,,-263.0373684,
678,-148.5,,,-254.3085714,
677,-165.3,,,-246.4105263,
676,-159.3,,,-243.1738095,
675,-151.3,,,-253.0921053,
674,-144,,,-254.4928571,
673,-137.8,,,-262.49,
672,-141.75,,,-246.0409524,
671,-145.7,,,-270.3863158,
670,-160.6,,,-258.7666667,
669,-149.9,,,-267.9736842,
668,-142.9,,,-272.0495238,
667,-146.1,,,-260.8478947,
666,-157.8,,,-254.8380952,
665,-162.6,,,-256.6626316,
664,-160.25,,,-258.8890476,
663,-157.9,,,-268.7915789,
662,-140,,,-254.3328571,
661,-137.8,,,-263.4273684,
660,-162.4,,,-269.3280952,
659,-154.5,,,-265.9715789,
658,-158.7,,,-265.842381,
657,-155,,,-259.2405263,
656,-151.3,,,-260.8047619,
655,-141.7,,,-262.8689474,
654,-165.8,,,-264.657619,
653,-162.2,,,-265.2852632,
652,-142.2,,,-266.5142857,
651,-148,,,-260.5031579,
650,-154.25,,,-261.54,
649,-160.5,,,-270.0389474,
648,-158,,,-267.0685714,
647,-139,,,-253.5684211,
646,-153.3,,,-271.4752381,
645,-131.4,,,-260.0594737,
644,-157.8,,,-259.0238095,
643,-155.95,,,-273.3773684,
642,-154.1,,,-271.6338095,
641,-149.8,,,-260.43,
640,-160.3,,,-261.9342857,
639,-148.4,,,-270.8857895,
638,-148.2,,,-268.0895238,
637,-146.4,,,-269.2426316,
636,-144.6,,,-261.1133333,
635,-146.5,,,-271.02,
634,-154.7,,,-267.8757143,
633,-150.5,,,-257.3468421,
632,-144.5,,,-261.847619,
631,-158.45,,,-266.2636842,
630,-172.4,,,-248.1957143,
629,-167.5,,,-254.1747368,
628,-157.5,,,-248.9371429,
627,-162.8,,,-252.8521053,
626,-160.1,,,-257.3290476,
625,-153.25,,,-262.8321053,
624,-146.4,,,-276.2047619,
623,-145.5,,,-266.11,
622,-160.3,,,-260.3385714,
621,-146.4,,,-251.2621053,
620,-151.45,,,-255.8319048,
619,-156.5,,,-240.9731579,
618,-146.5,,,-271.462381,
617,-153,,,-258.7115789,
616,-162.2,,,-243.79,
615,-140.8,,,-262.4252632,
614,-144.8,,,-252.19,
613,-148.8,,,-267.6873684,
612,-148.5,,,-256.5814286,
611,-144.9,,,-263.4631579,
610,-151.7,,,-244.38,
609,-156.4,,,-251.3589474,
608,-161.1,,,-250.1066667,
607,-155.1,,,-266.1547368,
